"","Building Address","Year Built"
"487","490 GEARY ST",1912
"488","695 MINNESOTA ST",1948
"489","640 SUTTER ST",1916
"490","2225 FOLSOM ST",1946
"491","1350 17th St",1979
"492","1355 FRANKLIN ST",1905
"493","860 EDDY ST",1959
"494","234 FRONT ST",1927
"495","2030 HARRISON ST",1907
"496","311 CALIFORNIA ST",1910
"497","874 HARRISON ST",1922
"498","959 MISSION ST",1906
"499","2351 Clay St",1972
"500","550 KEARNY ST",1975
"501","510 TOWNSEND ST",2017
"502","55 UNION ST",1900
"503","1161 MISSION ST",1924
"504","1621 MARKET ST",2021
"505","530 HOWARD ST",1908
"506","250 BRANNAN ST",1907
"507","1900 VAN NESS AVE",1919
"508","2055 BRYANT ST",0
"509","141 2ND ST",1907
"510","151 UNION ST",1914
"511","548 4TH ST",1919
"512","5655 MISSION ST",1939
"513","801 MONTGOMERY ST",1987
"514","560 BARNEVELD AVE",1955
"515","363 CLEMENTINA ST",1957
"516","595 Buckingham Way",1948
"517","680 CALIFORNIA ST",1906
"518","375 ALABAMA ST",1926
"519","28 2ND ST",1914
"520","1450 LOMBARD ST",1968
"521","55 2ND ST",2002
"522","500 3RD ST STE. 505",1927
"523","360 BAY ST",1968
"524","340 PINE ST",1928
"525","201 CALIFORNIA ST",1980
"526","678 GREEN ST",1912
"527","600 BATTERY ST",1927
"528","131 STEUART ST",1907
"529","153 TOWNSEND ST",2002
"530","25 POINT LOBOS AVE",1996
"531","1881 PINE ST",1937
"532","408 COLUMBUS AVE",1924
"533","555 CALIFORNIA ST",1969
"534","2203 3RD ST",1919
"535","500 2ND ST",1919
"536","700 EDDY ST",1965
"537","1 GRANT AVE",1910
"538","608 FOLSOM ST",1922
"539","720 MARKET ST",1990
"540","123-131 10th St.",1929
"541","661 BROADWAY",1963
"542","51 GRANT AVE",1909
"543","33 NEW MONTGOMERY ST",1986
"544","1126 HOWARD ST",1930
"545","110 Sutter Street",1906
"546","2727 MARIPOSA ST.",1923
"547","353 SACRAMENTO ST",1982
"548","1061 MARKET ST",1910
"549","417 MONTGOMERY ST",1936
"550","565 SOUTH VAN NESS AVE",1955
"551","2700 45TH AVE",1974
"552","150 HAYES ST",1968
"553","225 POST ST",1909
"554","1500 HOWARD ST",1930
"555","1 ARKANSAS ST",1922
"556","550 TERRY FRANCOIS STREET",2002
"557","625 SUTTER ST",1921
"558","425 BATTERY ST",0
"559","350 TREAT AVE",1944
"560","624 VALLEJO ST",1900
"561","1137 FOLSOM ST",1984
"562","114 POWELL ST",1908
"563","1111 17TH ST",1948
"564","1375 MISSION ST",1929
"565","200 BUSH ST",1912
"566","2141 Chestnut St",1928
"567","640 2ND ST",1925
"568","345 STOCKTON ST",1972
"569","1045 SANSOME ST",1926
"570","366-370 TURK ST",1923
"571","2140 WEBSTER ST",1987
"572","770 GOLDEN GATE AVE",1973
"573","2180 HARRISON ST",1989
"574","531 BRYANT ST",1918
"575","645 BRYANT ST",1954
"576","544 2ND ST",1923
"577","633 FOLSOM ST",1967
"578","1430 VAN NESS",1912
"579","2850 VAN NESS AVE",1955
"580","185 BERRY ST",1920
"581","2550 MISSION ST",1907
"582","44 PAGE ST",1912
"583","1663 MISSION ST",1925
"584","580 GEARY ST",1913
"585","2001 VAN NESS AVE",1920
"586","901 BATTERY ST",1923
"587","750 FLORIDA ST",1923
"588","1182 MARKET ST",1925
