Building Address	Year Built	analysis_neighborhood	supervisor_district
10 KING ST	NA	Mission Bay	6
2175 MARKET ST	2015	Castro/Upper Market	8
350 POST ST	1972	Financial District/South Beach	3
500 CALIFORNIA ST	1927	Financial District/South Beach	3
4355 GEARY BLVD	1989	Inner Richmond	1
1201 Ridge Ct	1990	Excelsior	11
150 SPEAR ST	1983	Financial District/South Beach	6
2225 JERROLD AVE	1982	Bayview Hunters Point	10
1301 EVANS AVE	1986	Bayview Hunters Point	10
275 BRANNAN ST	1906	Financial District/South Beach	6
666 ELLIS ST	1970	Tenderloin	5
1504 BRYANT ST	1900	Mission	9
1555 MARIPOSA ST	1939	Potrero Hill	10
512 2ND ST	1909	Financial District/South Beach	6
1550 SUTTER ST	1998	Pacific Heights	2
2400 14TH AVE	1928	West of Twin Peaks	7
312 SUTTER ST	1909	Financial District/South Beach	3
447 SUTTER ST	1916	Financial District/South Beach	3
1730 O'Farrell ST	NA	Western Addition	5
1133 POST ST	1917	Tenderloin	3
275 10TH ST	2009	South of Market	6
1001 POWELL ST	1906	Nob Hill	3
950 Mason St	1962	Nob Hill	3
58 FEDERAL ST	1912	Financial District/South Beach	6
1090 SANSOME ST	1908	Financial District/South Beach	3
53 COLUMBUS AVE	NA	Chinatown	3
301 PACIFIC AVE	1907	Chinatown	3
48 2ND ST	1907	Financial District/South Beach	6
701 Portola Dr	2013	West of Twin Peaks	7
822 PACIFIC AVE	NA	Chinatown	3
428 3RD ST	1917	South of Market	6
101 POST ST	1969	Financial District/South Beach	3
271 9TH ST	1917	South of Market	6
655 FOLSOM ST	1910	Financial District/South Beach	6
401 Terry A Francois Blvd	NA	Mission Bay	6
1007 TARAVAL ST	1931	Sunset/Parkside	4
1501 FILBERT ST	2014	Marina	2
1100 OCEAN AVE	NA	West of Twin Peaks	7
134 GOLDEN GATE AVE	1917	Tenderloin	5
378 18TH AVE	1929	Outer Richmond	1
1000 3RD ST	NA	Mission Bay	6
365 MAIN ST	0	Financial District/South Beach	6
1870 SACRAMENTO ST	1906	Pacific Heights	2
3225 26TH ST	1987	Mission	9
245 WINSTON DR	1952	Lakeshore	7
2300 California St	1962	Pacific Heights	2
100 1ST ST	1988	Financial District/South Beach	6
820 McAllister St	1974	Western Addition	5
244 CALIFORNIA ST	1908	Financial District/South Beach	3
3830 CALIFORNIA ST	1973	Presidio Heights	2
501 GEARY ST	1907	Tenderloin	5
345 ARBALLO DR	1942	Lakeshore	7
731 MARKET ST	1908	Financial District/South Beach	6
3251 20TH AVE	1988	Lakeshore	7
150 LOMBARD ST	1975	Financial District/South Beach	3
201 GOLDEN GATE AVE	1920	Tenderloin	5
222 KEARNY ST	1987	Financial District/South Beach	3
725 GRANT AVE	1907	Chinatown	3
755 MASON ST	1908	Nob Hill	3
35 PIER	1900	North Beach	3
1620 LAGUNA ST	1975	Japantown	5
735 BATTERY ST	1982	Financial District/South Beach	3
589 HOWARD ST	1907	Financial District/South Beach	6
1000 SUTTER ST	1908	Nob Hill	3
401 BAY ST	NA	North Beach	3
1817 CALIFORNIA ST	1960	Western Addition	2
191 EDDY ST	1910	Tenderloin	5
207 POWELL ST	1906	Tenderloin	3
660 BUSH ST	1910	Nob Hill	3
285 GEARY ST	1907	Financial District/South Beach	3
1624 EDDY ST	1900	Western Addition	5
80 Pier- M&R Bldg	0	Bayview Hunters Point	10
4201 18TH ST	1954	Castro/Upper Market	8
409 ILLINOIS ST	2008	Mission Bay	6
433 POWELL ST	1914	Nob Hill	3
560 MARKET ST	1907	Financial District/South Beach	3
1 De Haro St	NA	Mission Bay	6
40 Harbor Rd	NA	Bayview Hunters Point	10
88 KEARNY ST	1986	Financial District/South Beach	3
225 Fremont St	NA	Financial District/South Beach	6
170 Pacific Ave	1986	Financial District/South Beach	3
2940 16TH ST	1914	Mission	9
2500 ARELIOUS WALKER DR	NA	Bayview Hunters Point	10
717 MARKET ST	1908	Financial District/South Beach	6
75 HAWTHORNE ST	1987	Financial District/South Beach	6
835 MARKET STREET	0	South of Market	6
2225 MCKINNON AVE	1976	Bayview Hunters Point	10
370 TOWNSEND ST	1923	South of Market	6
1 JONES ST	1907	Tenderloin	5
302 EDDY ST	1983	Tenderloin	5
725 CESAR CHAVEZ ST	1962	Bayview Hunters Point	10
200-202 POTRERO AVE	1928	Mission	9
850 LA PLAYA	1971	Outer Richmond	1
555 HOWARD ST	1911	Financial District/South Beach	6
15 MARINA BLVD	1959	Marina	2
925 Toland St	1948	Bayview Hunters Point	10
300 BROADWAY	1921	North Beach	3
71 STEVENSON ST	1986	Financial District/South Beach	6
150 VALENCIA ST	1912	Mission	8
655 PACIFIC AVE	1950	Chinatown	3
144 EDDY ST	1907	Tenderloin	5
177 POST ST	1908	Financial District/South Beach	3
481 JESSIE ST	1907	South of Market	6
34 ELLIS ST	1907	Financial District/South Beach	3
8 10th st	NA	South of Market	6
1 Warriors Way	NA	Mission Bay	6
2151 VAN NESS AVE	1900	Pacific Heights	2
333 OFARRELL ST	0	Tenderloin	5
235 BAY SHORE BLVD	1927	Bayview Hunters Point	10
2200 JERROLD AVE	1987	Bayview Hunters Point	10
2175 HARRISON ST	1924	Mission	9
100 POTRERO AVE	1910	Mission	9
100 NORTH POINT ST	1969	North Beach	3
604 Mission St	1906	Financial District/South Beach	6
465 GRANT AVE	1922	Financial District/South Beach	3
1250 COLUMBUS AVE	1984	North Beach	3
5300 3RD STREET	2000	Bayview Hunters Point	10
606 FOLSOM ST	1900	Financial District/South Beach	6
560 BRANNAN ST	1929	South of Market	6
840 FOLSOM ST	1923	South of Market	6
394 PACIFIC AVE	1907	Financial District/South Beach	3
999 GREEN ST	1964	Nob Hill	3
1820 POST ST	1978	Japantown	5
1401 STOCKTON ST	1900	Chinatown	3
1 CHURCH ST	2002	Hayes Valley	8
375 BUSH ST	1908	Financial District/South Beach	3
500 SANSOME ST	1929	Chinatown	3
2000 OAKDALE AVE	1962	Bayview Hunters Point	10
450 POST ST	1924	Nob Hill	3
631 HOWARD ST	1929	Financial District/South Beach	6
2770 TAYLOR ST	1966	North Beach	3
20 BEATRICE LN	1978	Bayview Hunters Point	10
375 SUTTER ST	1907	Financial District/South Beach	3
445 GRANT AVE	1985	Financial District/South Beach	3
353 BAY SHORE BLVD	1994	Bayview Hunters Point	10
111 SUTTER ST	1926	Financial District/South Beach	3
2001 UNION ST	1970	Marina	2
2270 FOLSOM ST	1900	Mission	9
500 BATTERY ST	1965	Financial District/South Beach	3
2655 VAN NESS AVE	2008	Marina	2
55 STOCKTON ST	1989	Financial District/South Beach	3
1575 BURKE AVE	1981	Bayview Hunters Point	10
1240 EGBERT AVE	1987	Bayview Hunters Point	10
635 SUTTER ST	1911	Nob Hill	3
700 MONTGOMERY ST	1900	Chinatown	3
340 BRYANT ST	1932	Financial District/South Beach	6
801 BUSH ST	1916	Nob Hill	3
855 FOLSOM ST	2001	South of Market	6
3630 BALBOA ST	1925	Outer Richmond	1
200 Buchanan Street	2016	Hayes Valley	8
586 BUSH ST	1908	Financial District/South Beach	3
200 KANSAS ST	1983	Mission Bay	6
35 STANFORD ST	1927	Financial District/South Beach	6
540 POWELL ST	1909	Financial District/South Beach	3
553 PACIFIC AVE	1907	Chinatown	3
815 TENNESSEE ST	2017	Potrero Hill	10
1596 HOWARD ST	1926	Mission	6
909 HYDE ST	1926	Nob Hill	3
9 Berkeley Way	1968	Glen Park	8
855 HARRISON ST.	1955	South of Market	6
2040 FRANKLIN ST	1966	Pacific Heights	2
149 NEW MONTGOMERY ST	1907	Financial District/South Beach	6
501 BEALE ST	2006	Financial District/South Beach	6
800 CESAR CHAVEZ ST	1953	Bayview Hunters Point	10
445 GEARY ST	1922	Tenderloin	3
775 POST ST	1913	Tenderloin	3
1401 YOSEMITE AVE	1962	Bayview Hunters Point	10
1850 Kearny ST	1906	North Beach	3
2224 UNION ST	1904	Marina	2
1745 MARKET ST	1909	Mission	6
1701 FILLMORE ST	1985	Japantown	5
1245 SOUTH VAN NESS AVE	1959	Mission	9
1150 03RD ST	2020	Mission Bay	6
625 PINE ST	1950	Financial District/South Beach	3
2700 19TH ST	1908	Mission	9
603 BATTERY ST	1907	Chinatown	3
2750 VAN NESS AVE	1977	Russian Hill	3
77 GEARY ST	1929	Financial District/South Beach	3
40 LAFAYETTE ST	1934	Mission	6
1221 JONES ST	1971	Nob Hill	3
644 Geary St	1989	Tenderloin	3
701 MONTGOMERY ST	1911	Chinatown	3
1201 Funston Ave	1958	Inner Sunset	7
163 EDDY ST	1911	Tenderloin	5
381 BUSH ST	1907	Financial District/South Beach	3
80 6TH ST	1912	South of Market	6
507 CLEMENT ST	1910	Inner Richmond	1
250 SUTTER ST	1909	Financial District/South Beach	3
444 BRYANT ST	1923	Financial District/South Beach	6
136 MCALLISTER ST	1910	Tenderloin	5
616 GRANT AVE	1900	Chinatown	3
845 JACKSON ST	1924	Chinatown	3
48 PIER - SHED A	1900	Mission Bay	6
300 KANSAS ST	1937	Mission Bay	10
345 W PORTAL AVE	1966	West of Twin Peaks	7
401 3RD ST	1997	Financial District/South Beach	6
169 11TH ST	1923	South of Market	6
1300 4TH ST	NA	Mission Bay	6
565 COMMERCIAL ST	1985	Chinatown	3
38 DOLORES ST	2014	Castro/Upper Market	8
1177 CALIFORNIA ST	1978	Nob Hill	3
250 5TH ST	NA	South of Market	6
3801 3RD ST	1903	Bayview Hunters Point	10
375 BEALE ST	2002	Financial District/South Beach	6
1980 WASHINGTON ST	1923	Pacific Heights	2
345 Brannan St	2016	Financial District/South Beach	6
750-756 STANYAN ST	1907	Haight Ashbury	8
1275 MARKET ST.	1976	South of Market	6
246 1ST ST	1900	Financial District/South Beach	6
650 7TH ST	1908	South of Market	6
350 TOWNSEND ST	1906	South of Market	6
501 ALABAMA ST	1936	Mission	9
300 BUCHANAN ST	1931	Hayes Valley	5
1 STONESTOWN MALL	1951	Lakeshore	7
1201 MARKET ST	1964	South of Market	6
50 CHURCH ST	1905	Hayes Valley	8
1520 STOCKTON ST	1926	North Beach	3
301 BRANNAN ST	1909	Financial District/South Beach	6
545 POST ST	1913	Tenderloin	3
358 PINE ST	1928	Financial District/South Beach	3
720 YORK ST	1999	Mission	9
735 7TH AVE	2008	Inner Richmond	1
505 MONTGOMERY ST	0	Chinatown	3
788 Harrison St	2000	South of Market	6
1660 VAN NESS AVE	1911	Nob Hill	3
1125 Mission St	1927	South of Market	6
580 MCALLISTER ST	1912	Western Addition	5
1710 15TH ST	2007	Mission	9
3445 GEARY BLVD	2001	Lone Mountain/USF	2
211 SUTTER ST	1907	Financial District/South Beach	3
160 BAY ST	1968	North Beach	3
1630 Pacific Ave	NA	Russian Hill	3
75 INDUSTRIAL ST	1956	Bayview Hunters Point	10
3040 LARKIN ST	1925	Russian Hill	2
333 BAKER ST	1908	Lone Mountain/USF	5
1455 STOCKTON ST	1929	Chinatown	3
251 POST ST	1908	Financial District/South Beach	3
4050 19TH AVE	1993	Oceanview/Merced/Ingleside	11
101 VALLEJO ST	1906	Financial District/South Beach	3
2000 POST ST	NA	Japantown	5
28 Pier	1900	Financial District/South Beach	6
2200 LEAVENWORTH ST	1928	Russian Hill	3
859 JAMESTOWN AVE	NA	Bayview Hunters Point	10
1201 GOLDEN GATE AVE	1980	Western Addition	5
81 LANSING ST	1995	Financial District/South Beach	6
2000 CHESTNUT ST	1927	Marina	2
301 CARL ST	1927	Inner Sunset	8
51 FEDERAL ST	1923	Financial District/South Beach	6
703 MARKET ST	1908	Financial District/South Beach	6
560 MISSION ST	2002	Financial District/South Beach	6
1930 MARKET ST	1954	Hayes Valley	8
155 5TH ST	1973	South of Market	6
10 UNITED NATIONS PLZ	1982	Tenderloin	5
1101 Connecticut St	NA	Bayview Hunters Point	10
3540 Geary Blvd	1955	Presidio Heights	2
140 9TH ST	1933	South of Market	6
459 FULTON ST	1969	Hayes Valley	5
650 DELANCEY ST	1996	Financial District/South Beach	6
1296 Shotwell St	1948	Mission	9
575 6TH ST	1956	South of Market	6
111 CAMBON DR	1949	Lakeshore	7
111 JONES ST	1993	Tenderloin	5
1398 BRYANT ST	1900	Mission	9
1717 MISSION ST	1952	Mission	9
67 5TH ST	1923	South of Market	6
225 BUSH ST	1921	Financial District/South Beach	3
520 WASHINGTON ST	1940	Chinatown	3
350 CHURCH ST	1981	Castro/Upper Market	8
124 SPEAR ST	1918	Financial District/South Beach	6
100 SPEAR ST	1985	Financial District/South Beach	6
2071 3RD ST	2008	Potrero Hill	10
300 Toland St	1968	Bayview Hunters Point	10
524 SUTTER ST	1914	Nob Hill	3
150 POST ST	1908	Financial District/South Beach	3
1600 Owens St	NA	Mission Bay	6
965 CLAY ST	1932	Chinatown	3
2025 MCKINNON AVE	1967	Bayview Hunters Point	10
320 CLEMENTINA ST	2007	South of Market	6
1600 VAN NESS AVE	1913	Nob Hill	3
1601 MARIPOSA ST	2020	Potrero Hill	10
100 HOOPER ST	2018	Mission Bay	6
435 PACIFIC AVE	2002	Chinatown	3
838 GRANT AVE	1966	Chinatown	3
333 EUCALYPTUS DR	1953	Lakeshore	4
11 BUCARELI DR	1942	Lakeshore	7
55 9TH ST	2014	South of Market	6
405 JACKSON ST	1853	Chinatown	3
945 MARKET ST	0	South of Market	6
360 3RD ST	1976	South of Market	6
160 SANSOME ST	1965	Financial District/South Beach	3
50 CHUMASERO DR	NA	Lakeshore	7
188 KING ST	2006	Mission Bay	6
1335 WEBSTER ST	1983	Western Addition	5
1400 BAKER ST	1943	Japantown	5
100 THE EMBARCADERO	1889	Financial District/South Beach	6
827 STOCKTON ST	1914	Chinatown	3
2455 Golden Gate Ave	1921	Lone Mountain/USF	1
27 Pier	1900	Financial District/South Beach	3
348 PINE ST	1907	Financial District/South Beach	3
19 PIER	1900	Financial District/South Beach	3
333 Valencia St	1919	Mission	9
1625 POST ST	0	Japantown	5
5600 3rd St	2009	Bayview Hunters Point	10
679 3RD ST	1906	Financial District/South Beach	6
600 MONTGOMERY ST	1971	Chinatown	3
995 MARKET ST	1908	South of Market	6
600 HARRISON ST	1989	Financial District/South Beach	6
140 CASHMERE ST	1973	Bayview Hunters Point	10
54 MINT ST	1907	South of Market	6
601 CALIFORNIA ST	1960	Financial District/South Beach	3
70 Pier, Bldg # 2	1941	Potrero Hill	10
679 CLAY ST	1909	Chinatown	3
1707 MARKET ST	1955	Mission	6
801 SILVER AVE	1927	Portola	9
1010 SOUTH VAN NESS AVE	1998	Mission	9
1100 GOUGH ST	1964	Western Addition	2
3 MASONIC AVE	1900	Presidio Heights	2
901 VAN NESS AVE	1926	Western Addition	2
401 SANSOME ST	1906	Chinatown	3
301 MISSION ST	2009	Financial District/South Beach	6
1243 VAN NESS AVE	1913	Western Addition	2
4700 GEARY BLVD	1921	Inner Richmond	1
499 ILLINOIS ST	2008	Mission Bay	6
450 TOLAND ST	1969	Bayview Hunters Point	10
366 EDDY ST	1908	Tenderloin	5
1265 FOLSOM ST	1936	South of Market	6
201 Toland St	1965	Bayview Hunters Point	10
1550 VAN NESS AVE	1973	Nob Hill	3
466 BUSH ST	2007	Financial District/South Beach	3
2095 LOMBARD ST	1982	Marina	2
1430 BUSH ST	1914	Nob Hill	3
629 BUCHANAN ST	1998	Hayes Valley	5
215 KING ST	2002	Mission Bay	6
1188 MISSION ST	2010	South of Market	6
180 NEW MONTGOMERY ST	1920	Financial District/South Beach	6
595 MARKET ST	1978	Financial District/South Beach	6
1698 POST ST	1979	Japantown	5
1023 MISSION ST	1919	South of Market	6
650 BUSH ST	1912	Nob Hill	3
1212 GEARY BLVD	1945	Western Addition	2
1 STOCKTON ST	1973	Financial District/South Beach	3
Pier 17, Suite 100	1900	Financial District/South Beach	3
225 VALENCIA ST	1907	Mission	9
1069 PENNSYLVANIA AVE	1983	Potrero Hill	10
130 GEARY ST	1984	Financial District/South Beach	3
1810 Harrison St	1924	Mission	9
345 TAYLOR ST	1926	Tenderloin	5
375 FELL ST	1994	Hayes Valley	5
201 8TH ST	1900	South of Market	6
1335 4TH St	NA	Mission Bay	6
340 BRANNAN ST	1911	Financial District/South Beach	6
1091 BUSH ST	1910	Nob Hill	3
1340 CLAY ST	1991	Nob Hill	3
2324 CHESTNUT ST	1937	Marina	2
810 BATTERY ST	2008	Financial District/South Beach	3
1201 BRYANT ST	1927	Mission	6
2322 LOMBARD ST	1954	Marina	2
201 KEARNY ST	1910	Financial District/South Beach	3
203 Folsom St	2015	Financial District/South Beach	6
25 SANCHEZ ST	1972	Castro/Upper Market	8
39 STOCKTON ST	1909	Financial District/South Beach	3
1389 UNDERWOOD AVE	1966	Bayview Hunters Point	10
1501 NEWHALL ST	1989	Bayview Hunters Point	10
1300 BUSH ST	1975	Nob Hill	3
468 ELLIS ST	1908	Tenderloin	5
3900 Balboa St	1948	Outer Richmond	1
645 LEAVENWORTH ST	1913	Tenderloin	3
600 ALABAMA ST	1911	Mission	9
1 Ferry Building	NA	Financial District/South Beach	3
895 GEARY ST	1970	Tenderloin	5
654 MISSION ST	2009	Financial District/South Beach	6
1348-1380 Bush St	NA	Nob Hill	3
180 POST ST	1908	Financial District/South Beach	3
333 1ST ST	NA	Financial District/South Beach	6
921 HOWARD ST	1924	South of Market	6
456 MONTGOMERY ST	1986	Financial District/South Beach	3
434 ELLIS ST	1926	Tenderloin	5
50 FELL ST	1931	Tenderloin	6
1385 CARROLL AVE	1959	Bayview Hunters Point	10
3400 LAGUNA ST	1924	Marina	2
665 BUSH ST	2000	Financial District/South Beach	3
645 BUSH ST	1911	Financial District/South Beach	3
2045 EVANS AVE	2002	Bayview Hunters Point	10
140 ELLIS ST	1908	Tenderloin	3
155 SANSOME ST	1929	Financial District/South Beach	3
822 BUCHANAN ST	1975	Hayes Valley	5
312 FILLMORE ST	1925	Hayes Valley	5
2001 MISSION ST	1916	Mission	9
777 DAVIS ST	1927	Financial District/South Beach	3
400 CALIFORNIA ST	1907	Financial District/South Beach	3
2 HARRISON ST	1925	Financial District/South Beach	6
1301 FRANKLIN ST	1995	Western Addition	2
2000 3RD ST	2002	Potrero Hill	10
2265 LOMBARD ST	1959	Marina	2
480 2ND ST	1922	Financial District/South Beach	6
208 UTAH STREET	1911	Mission	6
2150 Oakdale Ave	1948	Bayview Hunters Point	10
868 WASHINGTON ST	1907	Chinatown	3
960 COLUMBUS AVE	1984	North Beach	3
625 8TH ST	1900	South of Market	6
1080 EDDY ST	1929	Western Addition	2
470 PACIFIC AVE	1907	North Beach	3
1800 MISSION ST	1900	Mission	9
1555 GALVEZ AVE	0	Bayview Hunters Point	10
300 CALIFORNIA ST	1946	Financial District/South Beach	3
1650 OWENS ST	0	Mission Bay	6
323 SUTTER ST	1909	Financial District/South Beach	3
5200 GEARY BLVD	1966	Outer Richmond	1
3110 OCTAVIA ST	1924	Marina	2
501 COLUMBUS AVE	1907	Chinatown	3
1950 Mission St	NA	Mission	9
156 GEARY ST	1907	Financial District/South Beach	3
135 Townsend Street	1911	Mission Bay	6
1830 HARRISON ST	1906	Mission	9
318 SPEAR ST	2008	Financial District/South Beach	6
300 GOUGH ST	2000	Hayes Valley	5
916 BUCHANAN ST	1972	Western Addition	5
2485 MISSION ST	1925	Mission	9
243 JEFFERSON ST	1937	North Beach	3
1256 MARKET ST	1908	Tenderloin	6
711 PACIFIC AVE	1950	Chinatown	3
1601 LANE ST	1949	Bayview Hunters Point	10
THE EMBARCADERO #0001	NA	Financial District/South Beach	3
448 BRYANT ST	1924	Financial District/South Beach	6
2276-2282 MARKET ST	1987	Castro/Upper Market	8
77 VAN NESS AVE	2009	Hayes Valley	6
255 SUTTER ST	1908	Financial District/South Beach	3
90 GOUGH ST	2008	Hayes Valley	6
934 HOWARD ST	1924	South of Market	6
701 SUTTER ST	1910	Nob Hill	3
514 MINNA ST	1994	South of Market	6
1 MONTGOMERY STREET	1908	Financial District/South Beach	3
640 DAVIS ST	1983	Financial District/South Beach	3
1760 CESAR CHAVEZ ST	1986	Bayview Hunters Point	10
1595 LOMBARD ST	1989	Marina	2
740 WASHINGTON ST	1907	Chinatown	3
45 PIER - SHED D	1900	North Beach	3
167 JESSIE ST	2002	Financial District/South Beach	6
1058 HOWARD ST	1927	South of Market	6
430 HOWARD ST	2007	Financial District/South Beach	6
1301 HARRISON ST	1926	South of Market	6
3950 24TH STREET	1968	Noe Valley	8
151 10TH ST	1924	South of Market	6
22 PEACE PLZ	1971	Japantown	5
101 DONAHUE ST	NA	Bayview Hunters Point	10
355 11TH ST	1906	South of Market	6
101 BARNEVELD AVE	1975	Bayview Hunters Point	10
2145 MARKET ST	1949	Castro/Upper Market	8
3150 CALIFORNIA ST	1942	Presidio Heights	2
1656 CALIFORNIA ST	1968	Nob Hill	3
1020 FILLMORE ST	1971	Western Addition	5
360 LANGTON ST	1928	South of Market	6
800 GREAT HWY	1982	Outer Richmond	1
801 Market St	NA	South of Market	6
572 FOLSOM ST	1912	Financial District/South Beach	6
2155 WEBSTER ST	1900	Pacific Heights	2
330 7TH AVE	1949	Inner Richmond	1
475 VALENCIA ST	1923	Mission	9
2275 BROADWAY	1926	Pacific Heights	2
647 MISSION ST	1907	Financial District/South Beach	6
500 BUSH ST	1912	Financial District/South Beach	3
243 ALABAMA STREET	1925	Mission	9
2601 MASON ST	1959	North Beach	3
140 7TH ST	1980	South of Market	6
230 EDDY ST	1927	Tenderloin	5
1990 FOLSOM ST	1963	Mission	9
678 MISSION ST	1922	Financial District/South Beach	6
833 Bryant St	1987	South of Market	6
50 OAK ST	2008	Hayes Valley	6
2101 MISSION ST	1916	Mission	9
315 BAY ST	1976	North Beach	3
701 GOLDEN GATE AVE	1900	Western Addition	5
1639 Oak Street	2016	Haight Ashbury	5
745 FRANKLIN ST	1953	Western Addition	2
1150 THOMAS AVE	1953	Bayview Hunters Point	10
500 MONTGOMERY ST	1918	Chinatown	3
837 TURK ST	2007	Western Addition	2
434 BRANNAN ST	1929	South of Market	6
444 DE HARO ST	1927	Potrero Hill	10
72 Ellis St	1960	Financial District/South Beach	3
154 CAPP ST	1922	Mission	9
86 GOLDEN GATE AVE	1918	Tenderloin	5
744 MARKET ST	1910	Financial District/South Beach	3
447 BATTERY ST	1907	Chinatown	3
1400 MISSION ST	NA	South of Market	6
1235 HOWARD ST	2000	South of Market	6
1170 SACRAMENTO ST	1963	Nob Hill	3
111 POWELL ST	1910	Tenderloin	3
3320 20TH ST	1920	Mission	9
1839 15TH ST	1983	Mission	8
1515 PINE ST	1924	Nob Hill	3
330 BERRY ST	2009	Mission Bay	6
112 7TH ST	1911	South of Market	6
1975 MARKET ST	1922	Mission	8
1320 MARIN ST	1951	Bayview Hunters Point	10
1009 STOCKTON ST	1910	Chinatown	3
2400 PACIFIC AVE	1932	Pacific Heights	2
1313 ARMSTRONG AVE	1960	Bayview Hunters Point	10
20 COSMO PL	1921	Nob Hill	3
3065 JACKSON STREET	1917	Pacific Heights	2
965 SUTTER ST	1990	Nob Hill	3
3201 20TH AVE	0	Lakeshore	7
1300 BUCHANAN ST	2001	Western Addition	5
1 KEARNY ST	0	Financial District/South Beach	3
1740 CESAR CHAVEZ	1986	Bayview Hunters Point	10
478 WARREN DR	1975	Inner Sunset	7
45 CLEARY CT	NA	Western Addition	2
135 KISKA RD	NA	Bayview Hunters Point	10
1325 INDIANA ST	2002	Potrero Hill	10
300 BEALE ST	1937	Financial District/South Beach	6
2400 Noriega St	NA	Sunset/Parkside	4
1400 MASON ST	1912	Chinatown	3
460 9TH ST	1927	South of Market	6
562 MARKET ST	1923	Financial District/South Beach	3
140 SANSOME ST	1908	Financial District/South Beach	3
1485 BAYSHORE BLVD	1927	Bayview Hunters Point	10
480 SUTTER ST	0	Financial District/South Beach	3
2298 PACIFIC AVE	NA	Pacific Heights	2
235 PINE ST	1991	Financial District/South Beach	3
25 RUSSIA AVE	1940	Excelsior	11
3543 18TH ST	1906	Mission	9
375 BRANNAN ST	1979	Financial District/South Beach	6
2600 ARELIOUS WALKER DR	NA	Bayview Hunters Point	10
1 DANIEL BURNHAM CT #1	1987	Western Addition	2
1620 STOCKTON ST	1936	North Beach	3
1150 25TH ST	1967	Potrero Hill	10
335 POWELL ST	1904	Tenderloin	3
33 TURK ST	2022	Tenderloin	5
1450 POST ST	1992	Japantown	5
1800 FOLSOM ST	1986	Mission	9
731 SANSOME ST	1911	Chinatown	3
200 PAUL AVE	1955	Bayview Hunters Point	10
979 MARKET ST	1907	South of Market	6
611 Second Street	1909	Financial District/South Beach	6
3350 MISSION ST	1967	Bernal Heights	9
1530 5TH AVE	1950	Inner Sunset	7
2222 17TH ST	1961	Mission	10
123 TOWNSEND ST	1903	Mission Bay	6
96B Pier	1941	Bayview Hunters Point	10
1801 WEDEMEYER ST	NA	Presidio	2
477 OFARRELL ST	1986	Tenderloin	5
2180 POST ST	2000	Japantown	5
300 Treat Ave	1908	Mission	9
650 EDDY ST	NA	Tenderloin	5
3911 ALEMANY BLVD	2002	Oceanview/Merced/Ingleside	7
333 Bush Street	1987	Financial District/South Beach	3
2213 MARKET ST	1909	Castro/Upper Market	8
3855 GEARY BLVD	1917	Inner Richmond	1
545 POWELL ST	1909	Nob Hill	3
364 9TH ST	1955	South of Market	6
826 Van Ness Ave	2009	Tenderloin	5
2690 Geary Blvd	1923	Presidio Heights	2
144 2ND ST	1908	Financial District/South Beach	6
1690 FOLSOM ST	1953	Mission	6
246 POST ST	1908	Financial District/South Beach	3
900 PENNSYLVANIA AVE	1997	Potrero Hill	10
60 BROADWAY	1902	Financial District/South Beach	3
1135 DIVISADERO ST	1983	Western Addition	5
98 Mission St	1979	Financial District/South Beach	6
639 POST ST	1914	Tenderloin	3
865 STOCKTON ST	1977	Chinatown	3
498 6TH ST	2003	South of Market	6
440 GEARY ST	1912	Tenderloin	3
5816 MISSION ST	1998	Outer Mission	11
160 SPEAR ST	0	Financial District/South Beach	6
150 CALIFORNIA ST	2000	Financial District/South Beach	3
150 MISSISSIPPI ST	1945	Potrero Hill	10
901 MINNESOTA ST	1940	Potrero Hill	10
17 POWELL ST	1910	Tenderloin	3
2800 3RD ST	1925	Potrero Hill	10
3060 16TH ST	1908	Mission	9
540 ALABAMA ST	1922	Mission	9
945 BATTERY ST	1911	Financial District/South Beach	3
923 Folsom Street	1967	South of Market	6
35 WOODWARD ST	1907	Mission	9
701 PHELPS ST	1954	Bayview Hunters Point	10
1177 MARKET ST	2020	South of Market	6
472 TOWNSEND ST	1920	Mission Bay	6
1301 VAN NESS AVE	1912	Western Addition	2
2318 Fillmore St.	1986	Pacific Heights	2
577 2ND ST	1923	Financial District/South Beach	6
3830 3RD ST	1985	Bayview Hunters Point	10
3398 Mission St	1917	Bernal Heights	9
25 ESSEX ST	2013	Financial District/South Beach	6
706 ELLIS ST	1908	Tenderloin	5
1881 BUSH ST	1895	Pacific Heights	5
130 SUTTER ST	1917	Financial District/South Beach	3
430 TURK ST	1987	Tenderloin	5
475 GOUGH ST	2014	Hayes Valley	5
830 Eddy St	NA	Western Addition	2
2351 Powell St	1968	North Beach	3
524 POST ST	1912	Nob Hill	3
250 CLAY ST	1967	Financial District/South Beach	3
757 MARKET ST	2001	Financial District/South Beach	6
101 POLK ST	2016	Tenderloin	6
111 Mason St	NA	Tenderloin	5
631 OFARRELL ST	1930	Tenderloin	5
3200 CALIFORNIA ST	0	Presidio Heights	2
838 MARKET ST	1930	Financial District/South Beach	3
1754 NORIEGA ST	1946	Sunset/Parkside	4
39 DRUMM STREET	1912	Financial District/South Beach	3
1275 MINNESOTA ST	1937	Potrero Hill	10
1635 DIVISADERO ST	1989	Japantown	5
625 2ND ST	1905	Financial District/South Beach	6
121 SPEAR ST	1925	Financial District/South Beach	6
2050 GALVEZ AVE	1968	Bayview Hunters Point	10
1263 HOWARD ST	1936	South of Market	6
