Building Address	Year Built	analysis_neighborhood	supervisor_district
60 2ND ST	1906	Financial District/South Beach	6
651 DARTMOUTH ST	1953	Portola	9
6 7TH ST	1909	South of Market	6
2233 POST ST	1961	Japantown	5
4545 GEARY BLVD	1941	Inner Richmond	1
1788 CLAY ST	2014	Russian Hill	3
474 OFARRELL ST	1913	Tenderloin	5
140 NEW MONTGOMERY ST	1925	Financial District/South Beach	6
1167-1199 SUTTER ST	1910	Nob Hill	3
50 BEALE ST	1967	Financial District/South Beach	6
180 HUBBELL ST	1900	Mission Bay	6
1510 Eddy St	NA	Western Addition	5
2550 IRVING ST	1966	Sunset/Parkside	4
735 MARKET ST	1907	Financial District/South Beach	6
230 TURK ST	2008	Tenderloin	5
2345 HARRISON ST	1924	Mission	9
233 SANSOME ST	1924	Financial District/South Beach	3
1940 BRYANT ST.	1923	Mission	9
843 STOCKTON ST	1908	Chinatown	3
630 3RD ST	1924	South of Market	6
1 BANNEKER WAY	1969	Hayes Valley	5
755 SANSOME ST	1927	Chinatown	3
175 BLUXOME ST	1998	Mission Bay	6
220 JACKSON ST	1911	Financial District/South Beach	3
2400 3RD ST	1937	Potrero Hill	10
505 HOWARD ST	2014	Financial District/South Beach	6
644 HYDE ST	1917	Tenderloin	3
1550 BRYANT ST	1915	Mission	9
1035 HOWARD ST	1930	South of Market	6
50 CALIFORNIA ST	1971	Financial District/South Beach	3
2500 18TH ST	1925	Mission	9
251 FRONT ST	1911	Financial District/South Beach	3
51 3RD ST	1970	Financial District/South Beach	6
2 CALIFORNIA ST	1908	Financial District/South Beach	3
2165 MISSION ST	1922	Mission	9
38 BRYANT ST	1994	Financial District/South Beach	6
1215 MARKET ST	1911	South of Market	6
278 POST ST	1910	Financial District/South Beach	3
228 POST ST	1909	Financial District/South Beach	3
900 GEARY ST	1909	Tenderloin	3
245 VALENCIA ST	1995	Mission	9
126 POST ST	1909	Financial District/South Beach	3
244 JACKSON ST	1913	Financial District/South Beach	3
256 SUTTER ST	1911	Financial District/South Beach	3
119 ELLIS ST	1907	Tenderloin	3
365 VERMONT ST	1984	Mission Bay	10
