"","Street Address","Business Start Date","Location Start Date","DBA Name"
"1290","160 14th St",2016-07-01,2020-06-01,"Chilicali LLC"
"1291","1544 Hyde St",2017-02-08,2017-02-08,"Crazy Curry"
"1292","Valencia Street",2018-08-16,2018-08-16,"Yellow Moto Pizzeria"
"1293","685 Dolores St",2017-02-14,2017-02-14,"Yorimichi"
"1294","411 Ellis St",2018-10-05,2018-10-05,"Mom's Banh Mi"
"1295","710 Post St",2019-03-18,2019-03-18,"El Tesoro Taqueria And  Grill"
"1296","2948 Folsom St",2016-06-02,2016-06-02,"La Cocina"
"1297","1796 Union St",2019-11-26,2019-11-26,"Palm Acai Cafe"
"1298","753 Alabama St",2016-09-06,2017-06-26,"True Laurel"
"1299","2175 Market St",2017-07-01,2017-07-31,"Doughp"
"1300","254 Fillmore St",2016-11-04,2018-10-31,"Walking Fish"
"1301","4623 Hansen Avenue Ave",2019-06-24,2019-06-24,"Saeed Foundation"
"1302","850 Grant Ave.",2019-09-17,2019-09-17,"Flour Chylde Bakery & Cafe"
"1303","2216 Polk St",2017-11-17,2017-11-17,"Royal Ground Coffee"
"1304","340 Grove St",2018-01-09,2018-01-09,"Simply Cafe"
"1305","205 Camaritas Ave",2019-05-22,2019-05-22,"Junior Barbecue Burger"
"1306","903 Cortland Ave",2016-06-20,2016-06-20,"Nute's"
"1307","579 Columbus Ave",2019-11-07,2019-11-07,"Il Cilentano"
"1308","4083 24th St 460915",2018-04-16,2018-04-16,"Eat Tropics Ptr"
"1309","455 Market St Ste 160",2019-05-30,2025-02-12,"Dragoneats"
"1310","590 Van Ness Ave",2017-02-09,2020-07-20,"Ella's Cafe"
"1311","667 Monterey Blvd",2016-06-01,2016-06-01,"Pho Dong Huong"
"1312","1318 Grant Ave",2019-02-27,2019-02-27,"Adolfo's Restaurant"
"1313","820 Filbert St",2017-09-22,2017-09-22,"Kween Foods"
"1314","500 Presidio Ave",2017-02-09,2017-02-13,"Ella's Cafe"
"1315","618 Broadway St",2016-07-01,2016-07-16,"Sam's"
"1316","771 10th Ave Bldg",2017-07-01,2017-11-08,"Trepalle Gelato"
"1317","1198 Valencia St 105",2018-05-08,2019-03-20,"Upfordayz"
"1318","11 Timberhill Ct",2019-10-10,2019-10-10,"Candy Fish"
"1319","10 Arkansas St Ste H",2018-08-01,2021-11-01,"Taika Inc."
"1320","1634 46th Ave",2019-06-30,2019-06-30,"Automat"
"1321","75 Yerba Buena Ln",2019-01-01,2019-01-01,"Tropisueno"
"1322","1800 Mission St",2017-08-29,2023-11-02,"Cardona's Food Truck"
"1323","2901 Mission St",2019-10-18,2019-10-30,"Reem's Mission"
"1324","Carl St",2018-02-24,2018-02-24,"Inovino"
"1325","1994 37th Ave",2018-01-01,2020-08-18,"Milkman SF"
"1326","1331 Polk St",2019-09-11,2019-09-11,"Ben Thai Cafe"
"1327","1540 Ocean Ave",2016-09-08,2016-09-08,"Golden Coast Restaurant"
"1328","228 Capistrano Ave",2019-03-14,2019-03-14,"Mclaren Park Cafe"
"1329","605 Galerita Way",2017-08-21,2017-08-21,"Banh Mi Zon"
