"","Street Address","Business Start Date","Location Start Date","DBA Name"
"4079","132 Broad St",2019-02-21,2019-02-21,"Photastic Vietnamese Restaurant"
"4080","845 Market St Fe-3",2018-05-16,2018-06-13,"Sorabol Korean Bbq And Asian Noodles"
"4081","1305 Castro St",2016-07-01,2021-12-01,"Chilicali"
"4082","1075 Sutter St",2018-07-12,2018-07-12,"Saha Winebar And Tapas"
"4083","2600 Arelious Walker Dr Apt 511",2019-09-06,2019-09-06,"Big H Bbq"
"4084","475 6th St Bldg",2019-09-13,2020-04-17,"Palmetto Superfoods"
"4085","1740 Church St",2017-03-13,2017-03-13,"Taku Sushi"
"4086","322 Kearny St",2017-07-01,2017-09-01,"Sini SF"
"4087","398 12th St",2018-10-18,2018-10-18,"Sf Eagle"
"4088","5469 Taft Ave Apt E",2018-03-22,2018-03-22,"The Fruit Tree, Inc."
"4089","25 Lessing St",2019-10-06,2019-10-29,"Mendez Cruz Catering"
"4090","9084 La Crescenta Ave",2019-04-19,2019-04-19,"Indiscretion Cafe"
"4091","2120 Greenwich St",2019-03-20,2019-12-11,"Vintage Cafe"
"4092","3407 Geary Blvd",2017-06-20,2017-06-20,"Thai Cafe"
"4093","425 Market St Unit 8",2016-09-27,2016-09-27,"Postmates Inc"
"4094","1188 Franklin St",2018-04-03,2019-05-03,"El Alambre"
"4095","925 Ne Cortland Ne Ave Rm 2",2017-06-01,2017-06-01,"Little Nepal"
"4096","77 Brighton Ct",2016-03-15,2016-03-15,"The Deli King"
"4097","1220 9th Ave",2019-06-25,2019-06-25,"Um.Ma"
"4098","4 Overhill Rd",2019-06-28,2019-06-28,"Leftcoastloaf"
"4099","185 Berry St",2017-04-02,2017-04-02,"Imagine @ Lyft"
"4100","607 Larkin St",2018-01-27,2018-01-27,"Rose Kitchen"
"4101","2163 Union St",2019-04-19,2020-08-01,"Mishka"
"4102","17 San Andreas Way",2017-05-10,2017-05-10,"Progressive Palates"
"4103","1145 Market St",2018-07-10,2018-07-10,"La Cuisine Cafe"
"4104","2127 Polk St",2017-01-19,2018-05-14,"Mac'd"
"4105","2545 Ocean Ave",2017-10-25,2017-10-25,"Ocean Thai"
"4106","1661 Tennessee St",2019-05-01,2021-02-03,"Superfine Kitchen"
"4107","1456 Willard St",2016-01-21,2016-01-21,"Baking On Willard"
"4108","1548 California St",2018-01-01,2018-01-01,"Tonic Nightlife Group"
"4109","84 Bartlett St",2019-07-15,2019-07-15,"Delightful Foods"
"4110","12 Blackstone Ln",2019-02-28,2019-02-28,"Farley's Cafe"
"4111","415 Mission St Fl 22",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"4112","103 Horne Ave",2019-08-13,2019-08-13,"Share Time Catering LLC"
"4113","5919 3rd St",2019-02-10,2023-12-20,"Collaborative Kitchens Management Services LLC"
"4114","400 Waller St",2018-11-27,2018-11-27,"Janchay's Bistro."
"4115","347 Clement St Apt",2018-08-01,2018-08-01,"Matthew Lee Dumas"
"4116","2743 Sheldon Ct Ne Ct",2019-05-10,2019-05-10,"Gery's Cakes And Desserts"
"4117","2312 Market St Ste 1",2019-12-23,2019-12-23,"Taco Boys"
"4118","3251 20th Ave Ste 156",2018-02-06,2018-02-06,"Eggxotic Inc"
"4119","Embarcardero Plaza",2017-08-30,2019-07-10,"Momolicious"
"4120","1800 23rd Ave 1",2019-06-01,2019-06-01,"My Baking Creations"
"4121","3347 Fillmore St",2016-08-26,2016-08-26,"Elena Una"
"4122","1650 Holloway Ave West Plz",2017-12-11,2020-10-23,"City Cafe"
"4123","332 Pine St",2019-03-15,2023-08-29,"Sf Chickenbox Dt"
"4124","1650 Holloway Ave Unit C",2018-07-01,2018-07-01,"Halal Shop"
"4125","2 Embarcadero Ctr Unit B6",2018-06-01,2018-06-01,"Gochees Pizza"
"4126","100 Bush St 110",2019-07-05,2019-09-13,"Sunshine Cafe"
"4127","350 Mission St Fl 14/15",2017-12-27,2019-03-14,"Aramark Rfs"
"4128","121 Brodin Way",2016-09-16,2022-07-01,"Sorrento Catering"
"4129","110 Bldg Hunters Pt Shipyard",2017-01-13,2017-01-13,"Homecookin"
"4130","4342 California St",2016-11-25,2016-11-25,"Corks"
"4131","103 Horne Ave",2019-07-01,2019-07-01,"Nahua Pizza"
"4132","301 King St B",2018-12-26,2018-12-26,"Death By Taco"
"4133","1100 26th St",2016-07-21,2019-07-01,"808 Poke Shack"
"4134","154 Mcallister St",2019-05-24,2019-05-24,"Hom Korean Kitchen"
"4135","2448 Great Hwy",2018-09-11,2018-09-11,"Onedirection Latin Fusion Cuisine"
"4136","2500 Noriega St",2018-09-01,2018-09-01,"Hk Tea Kee Cafe"
"4137","1695 Market Street",2019-01-04,2019-01-04,"Rocket Sushi"
"4138","1455 Market",2017-04-07,2017-04-07,"Ubereats"
"4139","620 Broadway",2019-12-23,2020-01-14,"Tacorea Nobe LLC, Tacorea"
"4140","798 Geneva Ave Apt 4",2019-05-25,2019-05-25,"Dead On Enterprises"
"4141","2240 Chestnut St",2018-02-21,2019-10-07,"Cracked & Battered"
"4142","88 King 504",2018-01-04,2018-01-04,"Here LLC"
"4143","606 Jackson St",2017-08-17,2017-08-17,"Z & Y Bistro"
"4144","1688 Bryant St",2019-04-01,2019-04-01,"Jade Cafe"
"4145","680 Folsom St Ste 120",2016-03-17,2017-03-16,"A-P Bay Area Stores LLC"
"4146","1310 9th Ave",2016-05-27,2016-05-27,"Hummus Heaven"
"4147","957 Connecticut St",2019-05-05,2019-05-05,"Lolo's Unicorn Juice Bar"
"4148","1661 Tennessee St",2018-03-01,2021-02-01,"Saffa Home Foods"
"4149","Geary St",2016-08-02,2016-08-02,"Tokyo Katana-Ya, LLC"
"4150","2948 Folsom St",2019-03-26,2019-08-02,"Bake Love"
"4151","338 Fairmount Ave",2018-04-25,2018-04-25,"Nahua Pizza"
"4152","548 Market St",2018-12-12,2019-12-26,"Vrais Foods"
"4153","4104 24th St 572",2018-01-10,2018-01-10,"Bernal Bears"
"4154","103 Horne Ave",2017-11-21,2017-12-20,"Pampa Bbq"
"4155","3251 20th Ave",2019-01-18,2020-11-20,"Bake & Grill"
"4156","933 North Point",2019-09-13,2019-09-13,"Numpangsf"
"4157","501 Taylor St Apt 608",2019-07-03,2019-07-03,"Khao Thai Catering LLC"
"4158","42952 Via Valparaiso",2017-02-22,2017-02-22,"Neutronze, Inc."
"4159","405 Central St",2018-10-01,2021-11-01,"Moon Star Restaurant"
"4160","1240 Noriega St",2019-04-03,2019-04-03,"Phosure"
"4161","1320 4 St",2019-06-18,2019-06-18,"Experteas Corporation"
"4162","3338 24th St",2016-05-23,2016-05-23,"Beloved Cafe"
"4163","2020 Mission St",2018-04-24,2018-04-24,"Aramex Restaurant Inc."
"4164","409 Bryant St",2016-06-01,2017-07-08,"409 Bryant St"
"4165","218 Cornell Ave",2016-10-14,2016-10-14,"Event Savvy"
"4166","1096 Union St",2019-05-21,2019-05-21,"Gastrobot"
"4167","1516 Folsom St",2018-03-21,2018-03-21,"Eat Sushi"
"4168","839 Irving St",2016-03-08,2016-03-08,"Honey Creme"
"4169","1 Ferry Buliding Ste 50",2018-01-30,2020-04-20,"Roti"
"4170","931 Washington Blvd Unit 120",2018-04-23,2018-04-23,"Freshway Fish"
"4171","Haight St",2018-03-01,2018-03-01,"Global Gastronomist"
"4172","12 Tenth St",2019-04-22,2019-04-22,"The Tea Box"
"4173","519 Marine View Dr Ste F",2018-01-15,2018-02-09,"Meadowlark Cafe LLC"
"4174","4717 Mission St Apt 5",2016-03-03,2020-01-01,"Hella Coffee"
"4175","1026 San Luis Cir Apt 609",2019-05-28,2019-05-28,"Pine Headz LLC"
"4176","2261 Market St Ste 643",2017-08-24,2017-08-24,"Soul Bowl'z"
"4177","1016 Bryant St",2016-10-15,2016-10-15,"1016 Bryant St, Sf Ca 94103"
"4178","432 Sutter St",2018-03-04,2018-03-04,"Spice Kitchen"
"4179","1780 Bancroft Ave Apt 4203",2017-09-06,2017-09-06,"Wen Jian"
"4180","550 Moreland Way Apt 4213",2017-03-01,2019-03-27,"Mycookiesf"
"4181","4543 Mission St",2019-05-01,2019-09-25,"Chef Yu Chinese Cuisine"
"4182","865 Market St Ste Fe10",2017-05-19,2017-05-19,"Koja Kitchen SF"
"4183","418 Gateway Dr Apt 3",2016-09-26,2016-09-26,"Iku"
"4184","1355 Market St Ste 180",2019-09-12,2020-09-03,"Hotbird"
"4185","11 Rebecca Ln",2017-08-14,2019-07-24,"Boug Cali"
"4186","1527 Stockton St",2017-03-01,2017-05-16,"Liguria, LLC"
"4187","600 York St",2017-07-05,2018-05-17,"Papillon"
"4188","2663 Mission St",2019-12-09,2019-12-09,"Grand Coffee At El Taller"
"4189","2948 Folsom St",2018-10-29,2018-10-29,"Healing Kitchen"
"4190","337 Seawall Lot A, Land Area 1-1",2016-03-25,2016-03-25,"Belcampo Meat Company"
"4191","3128 16th St",2016-02-24,2022-10-01,"I Dessert Bar"
"4192","1100 Market Street",2017-09-01,2017-09-01,"Charmaine's"
"4193","5212 Camden St",2017-10-19,2017-10-19,"Asukar"
"4194","1085 Mission St",2017-01-02,2017-12-19,"Birdsong"
"4195","713 Clay St",2017-04-06,2017-04-06,"Sam Wo Restaurant And Bakery"
"4196","9 Cypress St",2016-08-05,2016-08-05,"Salt Pt Butchery & Provisions"
"4197","2500 Mariposa St",2019-02-26,2019-02-26,"Nancy's Catering"
"4198","1411 Florida St St Apt 1",2019-06-17,2019-06-17,"Morita Catering"
"4199","601 N Mission Bay Blvd",2017-03-16,2017-03-16,"Spark Social SF"
"4200","6 Arnold Dr",2019-09-18,2019-09-18,"Home Plate"
"4201","1819 Polk St 207",2019-06-13,2019-06-13,"K8ter 2 You"
"4202","1476 Haight St",2019-11-22,2019-11-22,"Wake Cup"
"4203","1977 B Union St",2019-06-15,2023-10-30,"Daily Driver Union"
"4204","2226 Polk St.",2019-02-05,2019-02-05,"Ssal"
"4205","1000 Cortland Ave",2016-08-31,2016-08-31,"Skillshot"
"4206","804 Laguna Honda Blvd",2019-01-01,2019-01-01,"Carlin's Creations"
"4207","1400 Taraval St",2018-01-23,2018-01-23,"El Cafe"
"4208","3150 Polk St",2017-05-09,2018-08-21,"San Francisco Brewing Co - Restaurant"
"4209","100 Larkin St",2019-04-29,2019-04-29,"Poets Cafe"
"4210","145 College Ave",2018-11-29,2018-11-29,"The Chaga Company, LLC"
"4211","601 Minnesota St Ste 115",2017-04-30,2017-04-30,"Parties That Cook"
"4212","3516 Balboa St",2018-06-01,2018-06-01,"T Cup Cafe"
"4213","3213 Pierce St",2017-02-01,2017-02-01,"The Sandwich Spot"
"4214","103 Horne Ave",2019-09-06,2021-05-07,"Bighbbq"
"4215","2355 Chestnut St",2018-12-19,2018-12-19,"Aaron Jevon Burrus"
"4216","3161 24th St",2016-05-23,2016-05-23,"Montella Pizzeria"
"4217","8 Valencia",2016-10-17,2016-10-17,"Yo Dog Organic"
"4218","50 Fremont St A2",2018-10-19,2018-10-19,"Pokeworks"
"4219","321 West Portal Ave",2018-07-09,2018-07-09,"L'amour De Saigon"
"4220","575 Mission St",2016-03-01,2016-03-01,"Norcal Janitorial Services"
"4221","3520 20th St A",2019-07-01,2019-07-01,"Streatalian"
"4222","355 11th St Ste 100",2018-01-01,2018-01-01,"Agricole II"
"4223","2922 Diamond St",2016-09-01,2016-09-01,"One Waan Thai"
"4224","2433 Quintara St",2016-11-28,2016-11-28,"Ocean Malasada Company"
"4225","103 Horn Ave",2018-04-09,2018-07-24,"Fire 2 Smoke"
"4226","925 Bush St",2018-02-14,2018-02-14,"Peacekeeper"
"4227","378 Embarcadero W Unit 620",2018-01-01,2018-01-01,"Sweet And Sowers"
"4228","1063 Market St",2017-10-31,2017-10-31,"9 Vessels"
"4229","1463 Haight St",2017-06-13,2017-07-13,"Dough Boyz"
"4230","714 Post Street",2016-04-24,2016-04-24,"Em Deli SF"
"4231","2699 Taylor St",2018-04-19,2018-05-17,"Coco Fresh Tea & Juice"
"4232","103 Horne Ave",2019-12-19,2022-05-05,"Eclectic Cookery Inc."
"4233","3115 Mission",2019-06-26,2019-08-30,"Vessel Ca Operations"
"4234","4431 Mission St",2017-03-23,2017-09-15,"Rdsf Inc. Dba Rocks Den"
"4235","1 Mobile Caterers",2017-05-22,2019-03-26,"El Picacho"
"4236","2516 Noriega St",2019-04-01,2019-04-01,"Boss Bakery"
"4237","24 Jasper Place",2017-04-28,2017-04-28,"Bites"
"4238","1182 N Market St S St 1182",2019-06-14,2019-06-21,"Civic Center Farmers Market Heart Of The City"
"4239","401 California Ave",2017-01-01,2017-01-01,"Danilov Inc"
"4240","5800 Geary Blvd",2018-03-01,2018-03-01,"Amara"
"4241","613 York St",2016-09-29,2021-09-22,"Aedan Koji Cafe"
"4242","138 Lincoln St Unit B",2016-10-08,2016-10-08,"Anello Family Crab & Seafood"
"4243","607 Divisadero St",2016-06-07,2016-06-07,"Zaytoon"
"4244","530 Valencia St",2017-02-01,2024-08-27,"Raw Sugar Factory"
"4245","1750 Cesar Chavez E",2019-05-23,2019-05-23,"Ripen Company"
"4246","1400 Mission St 213",2017-01-25,2017-01-25,"Beyondburma"
"4247","2001 Fillmore Street",2018-06-11,2018-06-11,"Noosh"
"4248","1700 Post St Unit K",2019-05-08,2021-10-01,"Yuji"
"4249","1735 Polk St",2018-09-24,2018-10-01,"Black Hammer Brewing Hammertime"
"4250","3301 Buchanan St",2017-03-27,2017-06-19,"Jake's Steaks"
"4251","1661 Tennessee St Ste 2k",2018-06-07,2024-01-01,"Schilling & Co. Commissary"
"4252","101 Horne Ave",2016-10-01,2016-10-01,"Creative Ideas Catering SF"
"4253","50 Fremont St Fl 14/15",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"4254","937 Harrison St",2017-06-27,2017-06-27,"Reveille Coffee Co"
"4255","2565 3rd St Ste 307",2018-12-18,2019-02-01,"Butter&"
"4256","3839 Mission St",2016-04-22,2016-04-22,"Dba: Mama Mia Pizza"
"4257","406 Dewey Blvd",2018-04-26,2018-07-26,"Yoji"
"4258","2343 3rd St Ste 100",2016-11-15,2016-11-15,"Neighbor Bakehouse"
"4259","548 Market St 54137",2018-04-01,2018-04-01,"Endorfin Foods"
"4260","706 Athens St",2017-03-17,2017-03-17,"Martha Medina"
"4261","640 11th St",2017-07-02,2017-07-02,"L And O Bagels"
"4262","2761 Mission St",2019-04-05,2019-04-05,"Boba Bao Bei"
"4263","917 Bush St",2017-01-04,2017-07-21,"Arlette Restaurant"
"4264","205 Jones St Apt 412",2017-08-01,2017-08-03,"Le Chocophile"
"4265","535 Octavia St",2019-04-25,2019-06-21,"Naya Dessert Cafe"
"4266","1668 Haight St",2017-02-01,2017-02-01,"Om Indian Cuisine"
"4267","1240 Noriega St",2019-04-03,2019-04-03,"Green Bamboo"
"4268","941 14th St Bldg",2017-09-01,2017-09-01,"Personal Chef"
"4269","Fort Mason Center Bldg C",2018-10-10,2018-10-10,"Goody Cafe"
"4270","645 Irving St",2019-03-17,2019-03-17,"Yosemitea LLC"
"4271","393 Bay St",2019-07-18,2019-07-18,"New Thai Elephant #2 Inc"
"4272","928 Stockton St",2017-09-29,2017-09-29,"Metro Hong Kong Dessert"
"4273","1 Sansome St 1500",2018-09-24,2019-07-01,"Raging Bull LLC"
"4274","701 Larkin St",2017-08-10,2017-08-10,"Ha Nam Ninh Resturant"
"4275","2948 Folsom St",2019-03-26,2019-03-26,"Halverson Bakery"
"4276","845 Market St Ste Fe9",2019-05-28,2019-09-04,"Noobowl"
"4277","431 Columbus Ave",2017-08-30,2017-08-30,"Dough Room Company"
"4278","1670 Fell St",2018-04-10,2018-04-10,"James Calder"
"4279","354 Clementi St",2018-12-19,2018-12-19,"Amausaan Group"
"4280","1643 46th Ave",2019-05-23,2019-05-23,"Driftwood Bread Co."
"4281","1429 46th Ave",2019-01-01,2019-10-23,"Little Burde Chocolate"
"4282","151 Venus St",2018-02-03,2018-02-03,"Deirdre Moloney"
"4283","475 6th St",2019-02-01,2019-03-14,"Amici's East Coast Pizzeria"
"4284","3388 19th St",2018-11-30,2023-01-12,"Cafe De Olla"
"4285","308 5th Ave",2019-03-29,2019-03-29,"Cajun House"
"4286","601 Mission Bay N Blvd",2017-07-03,2017-07-03,"Heidis Fusion Food"
"4287","1421 Portola Dr",2017-07-21,2017-07-21,"Kristen M Tripp"
"4288","1 Mobile Caterers",2016-08-31,2019-03-27,"Conchinita"
"4289","1631 41st Ave",2017-10-12,2017-10-12,"Young Kobras"
"4290","2937 Mission St",2016-03-11,2016-03-11,"Evil Eye"
"4291","24 Willie Mays Plz",2016-03-17,2017-03-22,"The Organic Coup"
"4292","1499 Valencia St",2016-01-20,2016-01-20,"Als Restaurant Group Inc"
"4293","1301 46th Ave 4",2017-10-24,2017-10-24,"Spork And Stix"
"4294","1994 37th Ave",2019-04-29,2022-05-12,"Eureka Tortilla LLC"
"4295","1601 Mission St",2017-05-22,2017-06-26,"El Picacho"
"4296","91 6th St St",2018-05-21,2018-05-21,"Eightea"
"4297","1737 Post St Ste 380",2016-06-10,2016-06-10,"Kushi Tsuru"
"4298","1862 Anne Way",2018-02-13,2018-02-13,"Crispy Gals"
"4299","501 38th Ave Apt 303",2019-04-27,2019-04-27,"Kreativeats"
"4300","1979 Union St",2017-02-28,2024-10-01,"Vida Cantina"
"4301","415 Mission St Fl 3/4",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"4302","2335 Washington St Apt 305",2016-08-30,2016-08-30,"Page Chocolate"
"4303","378 Stratford Dr",2019-06-19,2019-06-19,"Ohana Poke And Salad Bar"
"4304","1357 Gordon Ln",2019-12-01,2019-12-01,"Sushi Shoubu"
"4305","S Pacardi S Dr 5521",2019-03-11,2019-03-11,"Chef Yeaaahh Catering"
"4306","621 Kearny St",2019-01-02,2019-01-02,"Good Luck Market & Deli"
"4307","1191 Pine St",2016-02-17,2016-02-17,"Another Cafe"
"4308","1977 Union St",2016-08-01,2016-12-15,"Vegan Picnic"
"4309","1610 Armstrong St",2018-07-17,2019-05-24,"Tacos Lol-Tun"
"4310","451 Donahue St Unit 213",2016-06-04,2016-06-04,"Rhea's Sweet Table"
"4311","635 34th Ave",2018-06-06,2018-06-07,"Caviar. Inc"
"4312","1323 Polk St",2016-08-01,2018-11-07,"Vegan Picnic"
"4313","621 Sansome St",2018-06-21,2018-06-21,"Pamela Brooks"
"4314","398 Euclid Ave 206",2019-02-14,2019-02-14,"Kolobok LLC"
"4315","1911 Fillmore St",2019-01-01,2019-01-01,"Spqr"
"4316","2948 Folsom St",2018-04-05,2018-04-05,"Ambrosia Catering Company"
"4317","2355 Chestnut St",2019-01-01,2019-01-01,"A16"
"4318","Sutter St",2018-07-12,2018-07-12,"Saha Winebar And Tapas"
"4319","579 Ofarrell St",2017-01-11,2017-01-11,"Postmates Driver"
"4320","804 Bryant St",2018-12-16,2018-12-16,"The Tru Lab"
"4321","59 Columbus Ave",2016-03-09,2016-09-13,"Caffe Macaroni"
"4322","4325 Beresford St Apt 4",2017-11-27,2017-11-27,"El Rincon Boricua"
"4323","3859 24th St",2018-10-25,2018-10-25,"Four Star Seafood"
"4324","3240 Scott St",2017-06-11,2023-12-29,"Bacio"
"4325","3319 Balboa St",2018-07-12,2018-07-12,"Bao Bao Noodle Bar"
"4326","1300 Dolores St",2017-07-19,2017-07-19,"Luv A Java"
"4327","1552 Fillmore St",2017-07-01,2018-01-12,"Avery"
"4328","11218 Paddock Ave",2019-08-07,2019-08-07,"Naked Chicken"
"4329","2510 Old Middlefield Way G",2016-09-23,2016-09-23,"Esther's German Bakery"
"4330","1 Ferry Building Unit 38",2018-06-01,2022-02-18,"Peaches Patties"
"4331","4609 Mission Street",2018-01-08,2018-01-08,"Baby's Eatery And Palabok"
"4332","3406 26th St",2016-05-06,2016-05-06,"Shaska Deli Coffee"
"4333","1301 46th Ave Apt 4",2017-10-24,2018-08-28,"Seoul Of Taipei"
"4334","1737 Post St Ste 355",2018-08-02,2018-08-02,"Izumi Kaiten Sushi"
"4335","16 W Yellowstone Way W Way",2016-08-16,2016-08-23,"San Francisco"
"4336","315 Montgomery St Ste 0101",2018-12-03,2018-12-03,"Boys Deli Inc"
"4337","2227 Polk St",2016-09-22,2016-09-22,"Bay Area Bbq Company"
"4338","900 22nd St",2019-11-22,2019-11-22,"Scout"
"4339","2652 Judah St",2019-08-01,2019-11-13,"The Pots"
"4340","959 Geneva Ave",2019-04-01,2019-04-12,"A-1 Geneva Bakery"
"4341","3251 20th Ave 250k",2017-12-08,2019-04-15,"Matcha Cafe Maiko"
"4342","2434 Mission St",2019-05-07,2019-05-07,"Mission Curry House"
"4343","425 Market St 8",2017-04-07,2017-05-12,"Postmates"
"4344","84 Bartlett",2017-08-31,2018-04-19,"Hidden Star Orchards@Mission Community Market"
"4345","1416 Powell St",2018-12-27,2018-12-27,"Laihong Restaurant"
"4346","799 Van Ness Ave",2019-04-01,2019-04-01,"799 Van Ness, LLC"
"4347","624 Naples St",2017-05-04,2017-05-04,"Vivien Walsh"
"4348","411 Ellis St",2018-10-05,2018-10-05,"Mom Banh Mi"
"4349","20 Maddux Ave",2017-08-01,2017-08-01,"Uber"
"4350","2059 Marazzani Dr",2017-06-01,2017-06-01,"Donna Tamales"
"4351","428 11th St",2018-09-11,2018-11-21,"Momo Noodle"
"4352","2943 16th St",2016-08-30,2016-08-30,"The Tamale Lady"
"4353","2850 21st St",2016-07-18,2016-07-18,"Bon Nene"
"4354","1033 Irving St",2019-11-19,2019-11-19,"Grill'n'curry Indian Pakistani Cusine"
"4355","53 W Portal Ave",2018-07-26,2018-07-26,"Roti Indian Bistro"
"4356","690 Sacramento St Bldg",2016-07-25,2016-07-25,"Rm 212"
"4357","2200 Jerrold Ave Ste C",2018-07-01,2018-08-01,"Candybar Catering"
"4358","138 Noe St Apt",2018-09-02,2018-09-03,"Phill's Phire Phoods"
"4359","845 Market St Unit Fe2",2017-01-05,2017-12-21,"Big Fish Little Fish Poke"
"4360","2030 Union St",2016-08-16,2016-10-26,"Flores"
"4361","614 Broadway",2019-11-14,2019-11-14,"Two Brothers Tea"
"4362","1446 Market St",2016-09-22,2016-12-02,"Hazel Southern Bar And Kitchen"
"4363","1390 Mission St Apt 409",2017-08-29,2017-08-29,"Cardona's Food Truck"
"4364","35 Valmar Ter",2017-05-01,2018-10-26,"Francis Inc"
"4365","2990 24th St Unit",2017-06-01,2017-06-01,"Son's Addition"
"4366","28 6 Th St",2017-07-12,2017-07-12,"Dottie's True Blue Cafe"
"4367","670 Larkin St",2018-10-02,2018-10-02,"Paper Rooster"
"4368","760 Clay St",2018-10-04,2018-10-04,"Oriental Pearl Restaurant LLC"
"4369","2948 Folsom St",2018-10-19,2018-12-09,"Fabiani Catering LLC"
"4370","3231 Fillmore St",2017-01-25,2017-01-26,"Flightless Coffee At Jaxson"
"4371","1737 Post St Ste 368",2016-05-01,2016-05-01,"Cafe Hana"
"4372","2021 Austin Street",2019-05-07,2019-05-07,"Sf Churros El Munchies"
"4373","804 Bryant St",2018-12-16,2018-12-16,"Tru Lab Gelato & Pastries"
"4374","505 Gene Friend Way",2016-05-27,2016-05-27,"Hummus Heaven"
"4375","94 Rock Harbor Ln",2017-02-06,2017-02-06,"Bliss Pops"
"4376","350 Bay St.",2019-05-01,2019-05-01,"Asia Chinese Food"
"4377","600 S Van Ness Ave",2018-12-01,2018-12-01,"Powered By Pork, LLC"
"4378","6748 N Mission N St Unit 410",2019-01-31,2019-01-31,"California's Gold"
"4379","103 Horne Ave",2017-11-20,2017-12-06,"Joshi & Jaffar"
"4380","1521 Eddy St",2017-04-13,2017-05-22,"Fillmore Social Club"
"4381","1977 B Union St",2017-10-01,2023-11-01,"Daily Driver Union"
"4382","2316 Julie Ln",2016-02-11,2016-02-11,"Nicklaus Rodriguez"
"4383","837 Jenevein Ave Apt 1",2017-09-05,2017-09-05,"Taqueria Don Tavito"
"4384","900 Market St Ste 600",2019-03-23,2019-03-23,"Doordash, Inc"
"4385","121 Spear St",2018-06-11,2018-06-11,"Guckenheimer @ Google - Rincon Center"
"4386","2257 Mason St",2019-05-28,2019-05-28,"Cilantro Sf Taqueria"
"4387","50 Fremont St Fl 42",2017-12-27,2019-03-14,"Aramark Rfs A Salesforce"
"4388","999 Michigan St",2018-11-07,2021-10-13,"Kayma"
"4389","5301 Mission St Unit 2",2020-01-01,2020-01-01,"Catch Sushi & Bento"
"4390","2948 Folsom St",2019-03-28,2019-05-03,"Bessy Boo"
"4391","2020 Jerrold Ave",2019-02-01,2019-02-11,"Marvin Gardens"
"4392","970 Chestnut St Apt 9",2017-11-01,2018-05-19,"Camp Toasted"
"4393","809 Kearny St",2019-01-01,2019-01-01,"Capputea Restaurant"
"4394","1266 9th Ave",2016-03-11,2016-03-11,"Lemonade"
"4395","535 Green",2019-06-26,2019-09-18,"Vessel Ca Operations"
"4396","24 Willie Mays Pl Promenade Lvl Sec 130",2018-03-09,2018-03-15,"95311 C & C Concessions/Portable 130 Lemonade Snack Cart"
"4397","438 Broadway St Apt 4",2018-04-10,2018-04-10,"T & T Cafe"
"4398","81 Dukes Ct",2019-11-12,2019-11-12,"Candy Queen"
"4399","5301 Mission St Ste 2",2019-11-08,2019-11-08,"Kenko Bento"
"4400","3153 17th St",2018-11-07,2018-11-07,"Robin's Cafe, LLC"
"4401","2545 Phelps St",2019-03-01,2019-03-01,"Miss Mirums"
"4402","1550 Evans Ave",2017-07-04,2023-05-29,"David Upchurch Chocolatier"
"4403","1155 Taraval St",2019-01-02,2019-01-02,"One Boiling Pot"
"4404","270 Noe St",2018-01-30,2019-03-18,"Roti"
"4405","50 Fremont St R2a",2018-10-19,2018-10-19,"Pokeworks"
"4406","3213 Pierce St",2017-05-30,2017-05-30,"The Sandwich Spot"
"4407","25 Lessing St",2019-10-06,2019-10-13,"Clean Mendezcruz"
"4408","2550 16th Ave Bldg",2016-03-25,2016-03-25,"Js Catering"
"4409","598 Market St",2016-09-09,2016-09-09,"Seismic Coffee"
"4410","2518 Las Gallinas Av",2018-05-01,2018-05-01,"Porchetta Toscana"
"4411","2 Marina Blvd Bldg C36",2020-01-01,2023-10-24,"Mozzeria (Mobile Food Truck II)"
"4412","870 Idora Ave",2019-02-05,2019-02-06,"Chilifruit"
"4413","324 Clement St",2017-07-25,2017-07-25,"Tefm"
"4414","270 5th St",2017-01-17,2017-05-01,"Vitality Bowls"
"4415","418 Capp Street Apt",2019-04-01,2019-04-01,"Taqueria Alteza"
"4416","124 Kirkwood Ave",2018-12-03,2021-01-01,"The Brunch Slut"
"4417","838 Grant Ave Fl Sixth",2019-10-01,2019-10-01,"Empress By Boon"
"4418","535 Geary St Apt 506",2019-04-25,2019-04-25,"Naya Dessert Cafe"
"4419","244 Clement Street",2018-07-15,2018-07-15,"Golden Waffle"
"4420","3215 Taraval St Apt 5",2016-12-20,2016-12-20,"Postmates"
"4421","71 5th St",2017-02-16,2017-02-16,"Kaisen Sushi"
"4422","600 Townsend St Ste 500",2016-04-15,2018-08-13,"Fare Resources Inc."
"4423","1101 Polk St",2019-09-30,2019-09-30,"Eleven O One"
"4424","225 Hyde St Apt 517",2019-07-31,2019-07-31,"Caviar Food Delivery"
"4425","1441 Mendell St",2017-04-06,2020-01-16,"Mobilize Love"
"4426","1737 Post Street 375",2018-11-21,2018-11-21,"Takoyaki Yamachan"
"4427","2031 Chestnut St",2016-10-19,2016-10-19,"Asian Box"
"4428","426 Brannan St",2017-07-27,2017-08-24,"Vagabond"
"4429","905 Kearny St",2017-12-11,2017-12-11,"Grasslands Bar & Lounge"
"4430","808 Leavenworth St Apt 403",2017-08-11,2019-02-19,"Elliot Sharifi"
"4431","888 Ofarrell St 218",2017-07-19,2017-07-19,"Superfood Box"
