"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"261","558 SACRAMENTO ST",1907,"Chinatown",3
"262","1200 FILLMORE ST",1973,"Western Addition",5
"263","2443 FILLMORE ST",1924,"Pacific Heights",2
"264","259 POST ST",1909,"Financial District/South Beach",3
"265","4435 3RD ST",2003,"Bayview Hunters Point",10
"266","433 TURK ST",1907,"Tenderloin",5
"267","3220 SACRAMENTO ST",1924,"Presidio Heights",2
"268","255 WOODSIDE AV",NA,"Twin Peaks",7
"269","274 BRANNAN ST",1923,"Financial District/South Beach",6
"270","300 3RD ST",1990,"South of Market",6
"271","755 Ocean Ave",1955,"Oceanview/Merced/Ingleside",11
"272","501 BUCKINGHAM WAY",1948,"Lakeshore",4
"273","60 2ND ST",1906,"Financial District/South Beach",6
"274","651 DARTMOUTH ST",1953,"Portola",9
"275","6 7TH ST",1909,"South of Market",6
"276","2233 POST ST",1961,"Japantown",5
"277","4545 GEARY BLVD",1941,"Inner Richmond",1
"278","1788 CLAY ST",2014,"Russian Hill",3
"279","474 OFARRELL ST",1913,"Tenderloin",5
"280","140 NEW MONTGOMERY ST",1925,"Financial District/South Beach",6
"281","1167-1199 SUTTER ST",1910,"Nob Hill",3
"282","50 BEALE ST",1967,"Financial District/South Beach",6
"283","180 HUBBELL ST",1900,"Mission Bay",6
"284","1510 Eddy St",NA,"Western Addition",5
"285","2550 IRVING ST",1966,"Sunset/Parkside",4
"286","735 MARKET ST",1907,"Financial District/South Beach",6
"287","230 TURK ST",2008,"Tenderloin",5
"288","2345 HARRISON ST",1924,"Mission",9
"289","233 SANSOME ST",1924,"Financial District/South Beach",3
"290","1940 BRYANT ST.",1923,"Mission",9
"291","843 STOCKTON ST",1908,"Chinatown",3
"292","630 3RD ST",1924,"South of Market",6
"293","1 BANNEKER WAY",1969,"Hayes Valley",5
"294","755 SANSOME ST",1927,"Chinatown",3
"295","175 BLUXOME ST",1998,"Mission Bay",6
"296","220 JACKSON ST",1911,"Financial District/South Beach",3
"297","2400 3RD ST",1937,"Potrero Hill",10
"298","505 HOWARD ST",2014,"Financial District/South Beach",6
"299","644 HYDE ST",1917,"Tenderloin",3
