"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"1032","921 FRONT ST",1900,"Financial District/South Beach",3
"1033","217 SANSOME ST",1908,"Financial District/South Beach",3
"1034","444 BATTERY ST",1967,"Financial District/South Beach",3
"1035","1001 VAN NESS AVE",2020,"Western Addition",2
"1036","660 MARKET ST",1924,"Financial District/South Beach",3
"1037","1601 22ND AVE",1939,"Sunset/Parkside",4
"1038","250 BEACH ST",1963,"North Beach",3
"1039","836 BRANNAN ST",2001,"South of Market",6
"1040","1072 MARKET ST",1911,"Tenderloin",5
"1041","1049 MARKET ST",1907,"South of Market",6
"1042","350-360 9TH ST",1920,"South of Market",6
"1043","1067 MARKET ST",1924,"South of Market",6
"1044","948 MARKET ST",1907,"Tenderloin",3
"1045","2599 LOMBARD ST",1957,"Marina",2
"1046","541 8TH ST",1937,"South of Market",6
"1047","1701 MONTGOMERY ST",1906,"North Beach",3
"1048","651 BRANNAN ST",1911,"Mission Bay",6
"1049","340 FREMONT ST",2016,"Financial District/South Beach",6
"1050","49 GEARY STREET",1912,"Financial District/South Beach",3
"1051","607 FRONT ST",1906,"Financial District/South Beach",3
"1052","2451 SACRAMENTO ST",1900,"Pacific Heights",2
"1053","2574 SAN BRUNO AVE",2010,"Portola",9
"1054","121 7TH ST",1961,"South of Market",6
"1055","890 HAYES ST",1900,"Hayes Valley",5
"1056","2345 Golden Gate Ave",NA,"Lone Mountain/USF",1
"1057","1111 8TH ST",0,"Mission Bay",6
"1058","290 7TH ST",1926,"South of Market",6
"1059","1060-1066 Market St,  San Francisco, CA 94102",2020,"Tenderloin",5
"1060","1901 LOMBARD ST",1984,"Marina",2
"1061","350 8TH ST",2017,"South of Market",6
"1062","525 MARKET ST",1973,"Financial District/South Beach",6
"1063","1390 SILVER AVE",1964,"Portola",9
"1064","555 BEACH ST",1951,"North Beach",3
"1065","50 GREEN ST",1907,"Financial District/South Beach",3
"1066","1455 FILLMORE ST",1993,"Western Addition",5
"1067","1750 ALAMEDA ST",1948,"Mission Bay",6
"1068","1145 MARKET ST",1990,"South of Market",6
"1069","1100 CESAR CHAVEZ ST",1949,"Bayview Hunters Point",10
"1070","398 11TH ST",1916,"Mission",6
"1071","2460 MISSION ST",1968,"Mission",9
"1072","6333 GEARY BLVD",1957,"Outer Richmond",1
"1073","1700 Egbert Ave",1997,"Bayview Hunters Point",10
"1074","2238 GEARY BLVD",1999,"Japantown",2
"1075","390 4TH ST",1924,"South of Market",6
"1076","2130 FULTON ST",1921,"Lone Mountain/USF",1
"1077","121 GOLDEN GATE AVE",2014,"Tenderloin",5
"1078","352 BRIGHTON AVE",2012,"West of Twin Peaks",7
"1079","2055 SACRAMENTO ST",1975,"Pacific Heights",2
"1080","1520 TAYLOR ST",1976,"Nob Hill",3
"1081","828 FRANKLIN ST",1983,"Western Addition",2
"1082","2 BRYANT ST",1937,"Financial District/South Beach",6
"1083","1580 VALENCIA ST",2018,"Bernal Heights",9
"1084","445 BUSH ST",1905,"Financial District/South Beach",3
"1085","One Post Street",1969,"Financial District/South Beach",3
"1086","2750 19TH ST",1907,"Mission",9
"1087","355 BRYANT ST",1917,"Financial District/South Beach",6
"1088","1745 CALIFORNIA ST",1900,"Western Addition",2
"1089","2445 Golden Gate Ave",1921,"Lone Mountain/USF",1
"1090","609 SUTTER ST",1927,"Nob Hill",3
"1091","505 Brannan Street",NA,"South of Market",6
"1092","3201 CALIFORNIA ST",2000,"Presidio Heights",2
"1093","401 ALABAMA ST",1925,"Mission",9
"1094","1363 DIVISADERO ST",1926,"Western Addition",5
"1095","865 MARKET ST",1908,"South of Market",6
"1096","2340 CLAY ST",1920,"Pacific Heights",2
"1097","95 HAYES ST",1967,"Tenderloin",6
"1098","800 PRESIDIO AVE",1952,"Presidio Heights",5
"1099","1501 LOMBARD ST",1954,"Marina",2
"1100","420 TAYLOR ST",1942,"Tenderloin",3
"1101","940 BATTERY ST",1917,"Financial District/South Beach",3
"1102","315 MONTGOMERY ST",1921,"Financial District/South Beach",3
"1103","805 LEAVENWORTH ST",1924,"Nob Hill",3
"1104","680 2ND ST",1913,"Financial District/South Beach",6
"1105","3535 BALBOA ST",1947,"Outer Richmond",1
"1106","410 JESSIE ST",1926,"South of Market",6
"1107","3711 19th Ave",NA,"Lakeshore",7
"1108","1285 SUTTER ST",2013,"Nob Hill",3
"1109","901 SACRAMENTO ST",1982,"Chinatown",3
"1110","300 MONTGOMERY ST",1918,"Financial District/South Beach",3
"1111","854 FOLSOM ST",1926,"South of Market",6
"1112","199 Fremont St",0,"Financial District/South Beach",6
"1113","323 GEARY ST",1908,"Tenderloin",3
"1114","451 Kansas Street",2007,"Potrero Hill",10
"1115","1000 VAN NESS AVE",1920,"Tenderloin",5
"1116","2499 OCEAN AVE",1977,"West of Twin Peaks",7
"1117","125 GARDENSIDE DR",1982,"Twin Peaks",8
"1118","101 CARGO WAY",1981,"Bayview Hunters Point",10
"1119","3450 3RD ST #2 A",1987,"Bayview Hunters Point",10
"1120","1040 COLUMBUS AVE",1950,"North Beach",3
"1121","4699 3RD ST",1956,"Bayview Hunters Point",10
"1122","1250 TENNESSEE ST",1965,"Potrero Hill",10
"1123","48 STOCKTON ST",1909,"Financial District/South Beach",3
"1124","2323 Sacramento St",1965,"Pacific Heights",2
"1125","690 FOLSOM ST",1926,"Financial District/South Beach",6
"1126","1028 HOWARD ST",1994,"South of Market",6
"1127","400 VIDAL DR",1942,"Lakeshore",7
"1128","1469 PACIFIC AVE",1921,"Russian Hill",3
"1129","624 TAYLOR ST",1934,"Nob Hill",3
"1130","650 CHESTNUT ST",1995,"North Beach",3
"1131","466 GEARY ST",1922,"Tenderloin",3
"1132","899 PINE ST",1961,"Nob Hill",3
"1133","4767 MISSION ST",1935,"Excelsior",11
"1134","606 HOWARD ST",1904,"Financial District/South Beach",6
"1135","495 JEFFERSON ST",1907,"Russian Hill",3
"1136","5644 GEARY BLVD",1931,"Outer Richmond",1
"1137","1833 FILLMORE ST",1916,"Pacific Heights",5
"1138","1695 MISSION ST",1951,"Mission",6
"1139","1401 HOWARD ST",1902,"South of Market",6
"1140","1699 VAN NESS AVE",1919,"Pacific Heights",2
"1141","1263 MISSION ST",1924,"South of Market",6
"1142","1395 EVANS AVE",1941,"Bayview Hunters Point",10
"1143","20 CALIFORNIA ST",1908,"Financial District/South Beach",3
"1144","1600 JACKSON ST",1908,"Russian Hill",3
"1145","625 TOWNSEND ST",2002,"Mission Bay",6
"1146","499 JACKSON ST",1965,"Chinatown",3
"1147","355 BUENA VISTA AVE",1986,"Castro/Upper Market",8
"1148","1142 VAN NESS AVE",1909,"Tenderloin",3
"1149","748 MISSION ST",1900,"Financial District/South Beach",6
"1150","180 MONTGOMERY ST",1978,"Financial District/South Beach",3
"1151","122 15TH ST",1947,"Mission Bay",6
"1152","1233 VAN NESS AVE",1913,"Western Addition",2
"1153","188 EMBARCADERO",1986,"Financial District/South Beach",6
"1154","641 FREDERICK ST",1990,"Inner Sunset",8
"1155","986 POLK ST",2008,"Tenderloin",5
"1156","691 MARKET ST",1909,"Financial District/South Beach",6
"1157","345 WILLIAMS AVE",1964,"Bayview Hunters Point",10
"1158","1595 SLOAT BLVD",1993,"Sunset/Parkside",4
"1159","1998 MARKET ST",NA,"Hayes Valley",8
"1160","20 HERON ST",1931,"South of Market",6
"1161","451 DONAHUE ST",NA,"Bayview Hunters Point",10
"1162","1483 SUTTER ST",1993,"Western Addition",2
"1163","1001 CALIFORNIA ST",1914,"Nob Hill",3
"1164","301 BRYANT ST",1998,"Financial District/South Beach",6
"1165","644 BROADWAY",1985,"Chinatown",3
"1166","501 JOHN MUIR DR",1973,"Lakeshore",7
"1167","2587 Marin Street",1986,"Bayview Hunters Point",10
"1168","750 POST ST",1914,"Nob Hill",3
"1169","1015 GEARY ST",1925,"Tenderloin",5
"1170","135 POST ST",1908,"Financial District/South Beach",3
"1171","522 2ND ST",1923,"Financial District/South Beach",6
"1172","625 3RD ST",1909,"Financial District/South Beach",6
"1173","1990 GREEN ST",1926,"Marina",2
"1174","642 JONES ST",1911,"Tenderloin",3
"1175","160 FOLSOM ST",1951,"Financial District/South Beach",6
"1176","1727 FILLMORE ST",1974,"Japantown",5
"1177","444 MARKET ST",1981,"Financial District/South Beach",3
"1178","1065 COLUMBUS AVE",1976,"Russian Hill",3
"1179","950 FRANKLIN",1931,"Western Addition",2
"1180","450 GEARY ST",1922,"Tenderloin",3
"1181","4 CAMBON DR",1942,"Lakeshore",7
"1182","THE EMBARCADERO #0015",1900,"Financial District/South Beach",3
"1183","1100 MARKET ST",1909,"Tenderloin",5
"1184","500 COLUMBUS AVE",1907,"North Beach",3
"1185","641 OFARRELL ST",1907,"Tenderloin",5
"1186","399 FREMONT ST",2016,"Financial District/South Beach",6
"1187","550 15TH ST",1906,"Mission",6
"1188","562 SUTTER ST",1907,"Nob Hill",3
"1189","2775 VAN NESS AVE",1972,"Marina",2
"1190","750 KEARNY ST",1970,"Chinatown",3
"1191","1258 Minnesota St",2014,"Potrero Hill",10
"1192","20 FRANKLIN ST",1917,"Hayes Valley",6
"1193","1438 GREEN ST",1998,"Russian Hill",3
"1194","1160 MISSION ST",2008,"South of Market",6
"1195","455 EDDY ST",1964,"Tenderloin",5
"1196","2001 BRYANT ST",1943,"Mission",9
"1197","4610 MISSION ST",1963,"Outer Mission",11
"1198","580 YORK ST",1918,"Mission",9
"1199","1390 Mission St",NA,"South of Market",6
"1200","1445 BUSH ST",1915,"Nob Hill",3
"1201","300 BERRY ST",2009,"Mission Bay",6
"1202","55 5TH ST",1913,"South of Market",6
"1203","101 2ND ST",2000,"Financial District/South Beach",6
"1204","96A Pier",1941,"Bayview Hunters Point",10
"1205","383 RHODE ISLAND ST",1924,"Mission Bay",10
"1206","500 TURK ST",2022,"Tenderloin",5
"1207","351 9TH ST",1929,"South of Market",6
"1208","38 TEHAMA ST",0,"Financial District/South Beach",6
"1209","400 2ND ST",1917,"Financial District/South Beach",6
"1210","234 STOCKTON ST",1908,"Financial District/South Beach",3
"1211","74 OTIS ST",1916,"Mission",6
"1212","380 10TH ST",2004,"South of Market",6
"1213","2111 HYDE ST",1923,"Russian Hill",3
"1214","1320 VAN NESS AVE",1909,"Nob Hill",3
"1215","330 TOWNSEND ST",1985,"South of Market",6
"1216","3490 SACRAMENTO ST",1977,"Presidio Heights",2
"1217","5550 BARTLETT ST",NA,"Mission",9
"1218","108 Catalina St",NA,"Bayview Hunters Point",10
"1219","40 GOLD ST",1910,"Chinatown",3
"1220","1150 SACRAMENTO ST",1989,"Nob Hill",3
"1221","309 FONT BLVD",1942,"Lakeshore",7
"1222","3146 MISSION ST",1949,"Bernal Heights",9
"1223","34 MASON ST",1907,"Tenderloin",3
"1224","2576 LOMBARD ST",1940,"Marina",2
"1225","1425 FOLSOM ST",1936,"South of Market",6
"1226","101 THE EMBARCADERO",0,"Financial District/South Beach",3
"1227","2020 MARKET ST",1954,"Castro/Upper Market",8
"1228","100 BATTERY ST",1956,"Financial District/South Beach",3
"1229","390 1st St",1969,"Financial District/South Beach",6
"1230","205 Franklin Street",2013,"Hayes Valley",5
"1231","120 STOCKTON ST",1974,"Financial District/South Beach",3
"1232","6221 GEARY BLVD",1969,"Outer Richmond",1
"1233","320 ALABAMA ST",2002,"Mission",9
"1234","899 HOWARD ST",1920,"South of Market",6
"1235","240 SHOTWELL ST",1938,"Mission",9
"1236","700 VAN NESS",0,"Tenderloin",5
"1237","1960 BROADWAY",NA,"Pacific Heights",2
"1238","1600 STOCKTON ST",1927,"North Beach",3
"1239","444 PRESIDIO AVE",1962,"Presidio Heights",2
"1240","550 GEARY ST",1929,"Tenderloin",3
"1241","3185 WASHINGTON ST",1921,"Pacific Heights",2
"1242","700 7TH ST",1905,"Mission Bay",6
"1243","1446 Market St",NA,"Tenderloin",6
"1244","690 PENNSYLVANIA AVE",1999,"Potrero Hill",10
"1245","1177 EDDY ST",1956,"Western Addition",5
"1246","444 TOWNSEND ST",1923,"Mission Bay",6
"1247","1 DANIEL BURNHAM CT",1987,"Western Addition",2
"1248","2500 STEINER ST",NA,"Pacific Heights",2
"1249","667 MISSION ST",1909,"Financial District/South Beach",6
"1250","601 MARKET ST",1917,"Financial District/South Beach",6
"1251","101 HOWARD ST",1968,"Financial District/South Beach",6
"1252","227 BAY ST",1970,"North Beach",3
"1253","2435 CALIFORNIA ST",1941,"Pacific Heights",2
"1254","1301 MARKET ST",1937,"South of Market",6
"1255","150 BERRY ST",2003,"Mission Bay",6
"1256","3160 21ST ST",1969,"Mission",9
"1257","726 SUTTER ST",0,"Nob Hill",3
"1258","840 POST ST",NA,"Nob Hill",3
"1259","1075 California St",1924,"Nob Hill",3
"1260","1940 BROADWAY",NA,"Pacific Heights",2
"1261","950 HARRISON ST",2000,"South of Market",6
"1262","511 HARRISON ST",1930,"Financial District/South Beach",6
"1263","850 MONTGOMERY ST",1970,"Chinatown",3
"1264","2601 MISSION ST",1962,"Mission",9
"1265","1550 Mission St",2020,"Mission",6
"1266","188 SPEAR ST.",1973,"Financial District/South Beach",6
"1267","1590 BROADWAY",1909,"Russian Hill",3
"1268","1620 MONTGOMERY ST",1907,"Financial District/South Beach",3
"1269","642 HARRISON ST",1925,"Financial District/South Beach",6
"1270","2 HARBOR RD",1900,"Bayview Hunters Point",10
"1271","901 MARKET ST",1912,"South of Market",6
"1272","544 GOLDEN GATE AVE",1911,"Tenderloin",5
"1273","617 MISSION ST",1908,"Financial District/South Beach",6
"1274","361 BRANNAN ST",1928,"Financial District/South Beach",6
"1275","1515 SLOAT BLVD",1992,"Sunset/Parkside",4
"1276","1700 OWENS ST",2007,"Mission Bay",6
"1277","645 HARRISON ST",1948,"Financial District/South Beach",6
"1278","944 FOLSOM ST",1936,"South of Market",6
"1279","1330 JONES ST",1954,"Nob Hill",3
"1280","1111 MARKET ST",1920,"South of Market",6
"1281","2125 BRYANT ST",2009,"Mission",9
"1282","839 LEAVENWORTH ST",1911,"Nob Hill",3
"1283","539 BRYANT ST",1912,"South of Market",6
"1284","685 7TH ST",1946,"South of Market",6
"1285","25 KEARNY ST",1909,"Financial District/South Beach",3
"1286","351 BUENA VISTA AVE",1987,"Castro/Upper Market",8
"1287","650 2ND ST",1996,"Financial District/South Beach",6
"1288","25 CYRIL MAGNIN ST",1973,"Tenderloin",3
"1289","945 GREEN ST",1928,"Nob Hill",3
"1290","170 SOUTH VAN NESS AVE",1936,"Mission",6
"1291","955 INDIANA ST",1961,"Potrero Hill",10
"1292","1250 Sunnydale Ave",2000,"Visitacion Valley",10
"1293","2675 FOLSOM ST",1952,"Mission",9
"1294","351 CALIFORNIA ST",1920,"Financial District/South Beach",3
"1295","464 CALIFORNIA ST",1959,"Financial District/South Beach",3
"1296","3003 3RD ST",1940,"Bayview Hunters Point",10
"1297","725 GREENWICH ST",1985,"North Beach",3
"1298","1885 MISSION ST",1925,"Mission",9
"1299","2500 MASON ST",1974,"North Beach",3
"1300","420 MISSION BAY BLVD",2012,"Mission Bay",6
"1301","222 STANYAN ST",1929,"Lone Mountain/USF",1
"1302","155 STEUART ST",1906,"Financial District/South Beach",6
"1303","1200 IRVING ST",1959,"Inner Sunset",7
"1304","50 OSGOOD PL",1986,"North Beach",3
"1305","2601 MARIPOSA ST",1989,"Mission",9
"1306","1155 INDIANA ST",1965,"Potrero Hill",10
"1307","1563 PAGE ST",2020,"Haight Ashbury",5
"1308","45 PIER - SHED B",1900,"North Beach",3
"1309","705 SANSOME ST",1906,"Chinatown",3
"1310","1075 FRONT ST",1906,"Financial District/South Beach",3
"1311","166 GEARY ST",1907,"Financial District/South Beach",3
"1312","260 CALIFORNIA ST",1910,"Financial District/South Beach",3
"1313","70 Pier #12",1941,"Potrero Hill",10
"1314","777 TENNESSEE ST",1957,"Potrero Hill",10
"1315","340 POST ST",1923,"Financial District/South Beach",3
"1316","575 SUTTER ST",1919,"Nob Hill",3
"1317","690 LONG BRIDGE ST",NA,"Mission Bay",6
"1318","181 Fremont St",2018,"Financial District/South Beach",6
"1319","1628 CALIFORNIA ST",2007,"Nob Hill",3
"1320","575 MARKET ST",1975,"Financial District/South Beach",6
"1321","520 6TH ST",2001,"South of Market",6
"1322","2130 HARRISON ST",2001,"Mission",9
"1323","1090 CHESTNUT ST",1927,"Russian Hill",2
"1324","225 HYDE ST",1928,"Tenderloin",5
"1325","444 SPEAR ST",1939,"Financial District/South Beach",6
"1326","155 Montgomery St",1921,"Financial District/South Beach",3
"1327","4950 MISSION ST",1980,"Outer Mission",11
"1328","474 VALENCIA ST.",1949,"Mission",9
"1329","100 PINE ST",1971,"Financial District/South Beach",3
"1330","1830 FILLMORE ST",1984,"Pacific Heights",5
"1331","1000 GREEN ST",1950,"Russian Hill",3
"1332","171 2ND ST",1912,"Financial District/South Beach",6
"1333","1245 CALIFORNIA ST",1924,"Nob Hill",3
"1334","1400 Folsom Street",1924,"South of Market",6
"1335","868 FOLSOM ST",1935,"South of Market",6
"1336","1255 Battery St",1981,"Financial District/South Beach",3
"1337","200 CARDENAS AVE",1942,"Lakeshore",7
"1338","1501 DIVISADERO ST",1938,"Japantown",2
"1339","665 3RD ST",1916,"Financial District/South Beach",6
"1340","144 LEAVENWORTH ST",1922,"Tenderloin",5
"1341","2135 SUTTER ST",1906,"Japantown",5
"1342","2949 18TH ST",2009,"Mission",9
"1343","625 POLK ST",1912,"Tenderloin",5
"1344","2401 INGALLS ST",1964,"Bayview Hunters Point",10
"1345","476 GEARY ST",1911,"Tenderloin",3
"1346","1590 Sutter St",NA,"Pacific Heights",2
"1347","1201 CALIFORNIA ST",NA,"Nob Hill",3
"1348","3800 GEARY BLVD",1921,"Inner Richmond",1
"1349","2190 LOMBARD ST",1988,"Marina",2
"1350","617 BATTERY ST",1906,"Chinatown",3
"1351","2140 FOLSOM ST",1916,"Mission",9
"1352","841 HOWARD ST",1923,"South of Market",6
"1353","420 BRYANT ST",1922,"Financial District/South Beach",6
"1354","600 CALIFORNIA ST",1991,"Chinatown",3
"1355","583 HOWARD ST",1912,"Financial District/South Beach",6
"1356","1234 DIVISADERO ST",1981,"Western Addition",5
"1357","3180 22ND ST",1926,"Mission",9
"1358","2006 WASHINGTON ST",NA,"Pacific Heights",2
"1359","384 POST ST",1980,"Financial District/South Beach",3
"1360","355 BRANNAN ST",1928,"Financial District/South Beach",6
"1361","992 PERALTA AVE",1948,"Bernal Heights",9
"1362","1412 VAN NESS AVE",1913,"Nob Hill",3
"1363","851 VAN NESS AVE",2002,"Western Addition",2
"1364","2700 GEARY BLVD",1923,"Presidio Heights",2
"1365","133 GOLDEN GATE AVE",0,"Tenderloin",5
"1366","55 4TH ST",1989,"Financial District/South Beach",6
"1367","178 Townsend St",2012,"Financial District/South Beach",6
"1368","241 6TH ST",1995,"South of Market",6
"1369","490 POST ST.",1925,"Nob Hill",3
"1370","850 VAN NESS AVE",1919,"Tenderloin",5
"1371","550 SUTTER ST",1909,"Nob Hill",3
"1372","2140 TAYLOR ST",1962,"Russian Hill",3
"1373","1527 STOCKTON ST",1915,"North Beach",3
"1374","535 JESSIE ST",1907,"South of Market",6
"1375","2310 MASON ST",1968,"North Beach",3
"1376","500 Pine Street",NA,"Financial District/South Beach",3
"1377","1230 CLAY ST",1950,"Nob Hill",3
"1378","1715 CORTLAND AVE",1937,"Bernal Heights",9
"1379","799 MARKET ST",1968,"Financial District/South Beach",6
"1380","540 MARKET ST",1913,"Financial District/South Beach",3
"1381","1110 4TH ST",NA,"Mission Bay",6
"1382","500 GONZALEZ DR",1942,"Lakeshore",7
"1383","655-675 SOUTH VAN NESS AVE",1958,"Mission",9
"1384","2169 FOLSOM ST",2001,"Mission",9
"1385","720 CALIFORNIA ST",1926,"Chinatown",3
"1386","1033 FILBERT ST",1922,"Russian Hill",3
"1387","1 CLEMENT ST",1908,"Inner Richmond",1
"1388","300 PAGE ST",1922,"Hayes Valley",5
"1389","611 MISSION ST",1907,"Financial District/South Beach",6
"1390","3450 3RD ST #2 B",1987,"Bayview Hunters Point",10
"1391","560 SACRAMENTO ST",1909,"Chinatown",3
"1392","140 South Van Ness Ave",2003,"Mission",6
"1393","3330 GEARY BLVD",1922,"Presidio Heights",2
"1394","474 NATOMA ST",2014,"South of Market",6
"1395","1001 BRANNAN ST",1917,"Mission",6
"1396","5140 Diamond Heights Blvd",1972,"Noe Valley",8
"1397","210 GOLDEN GATE AVE",1909,"Tenderloin",5
"1398","500 INDIANA ST",1999,"Potrero Hill",10
"1399","845 BUSH ST",1915,"Nob Hill",3
"1400","2020 VAN NESS AVE",1915,"Russian Hill",3
"1401","201 SPEAR ST",1986,"Financial District/South Beach",6
"1402","3575 GEARY BLVD",2011,"Lone Mountain/USF",2
"1403","350 SANSOME ST",1952,"Financial District/South Beach",3
"1404","2800 SLOAT BLVD",1955,"Sunset/Parkside",4
"1405","120 2ND ST",1907,"Financial District/South Beach",6
"1406","1241 EVANS AVE",1990,"Bayview Hunters Point",10
"1407","680 FOLSOM ST",1964,"Financial District/South Beach",6
"1408","18 LANSING ST",1928,"Financial District/South Beach",6
"1409","385 8TH ST",1906,"South of Market",6
"1410","317 CLEMENTINA ST",1984,"South of Market",6
"1411","280 TOWNSEND ST",1947,"South of Market",6
"1412","580 CALIFORNIA ST",1984,"Financial District/South Beach",3
"1413","1001-1011 BRYANT ST",2010,"South of Market",6
"1414","200 GREEN ST",1923,"North Beach",3
"1415","3490 California Street",2000,"Presidio Heights",2
"1416","98 BATTERY ST",1907,"Financial District/South Beach",3
"1417","1270 GREAT HWY",1956,"Sunset/Parkside",4
"1418","880 FRANKLIN ST",1980,"Western Addition",2
"1419","1524 Polk St",1906,"Nob Hill",3
"1420","1260 EGBERT AVE",1987,"Bayview Hunters Point",10
"1421","701 BRYANT ST",1926,"South of Market",6
"1422","2501 Cesar Chavez St",1925,"Bayview Hunters Point",10
"1423","2929 19TH ST",1923,"Mission",9
"1424","1405 INDIANA ST",1962,"Bayview Hunters Point",10
"1425","3375 17th St",NA,"Mission",9
"1426","2445 MARIPOSA ST",1983,"Mission",9
"1427","2415 VAN NESS AVE",1926,"Marina",2
"1428","730 TARAVAL ST",1900,"West of Twin Peaks",7
"1429","220 BUSH ST",1930,"Financial District/South Beach",3
"1430","888 BRANNAN ST",1920,"South of Market",6
"1431","3001 19TH ST",1905,"Mission",9
"1432","1737 POST STREET",1967,"Japantown",5
"1433","66 POTRERO AVE",1956,"Mission",9
"1434","2199 Fulton St",NA,"Lone Mountain/USF",1
"1435","1200 FOLSOM ST",1925,"South of Market",6
"1436","135 VALENCIA ST",1997,"Mission",6
"1437","980 MISSION ST",1924,"South of Market",6
"1438","56 12TH ST",1912,"Mission",6
"1439","30 HOTALING PL",1933,"Chinatown",3
"1440","451 JACKSON ST",1900,"Chinatown",3
"1441","200 LOMBARD ST",1992,"North Beach",3
"1442","2 MCLEA CT",2008,"South of Market",6
"1443","210 POST STREET",1905,"Financial District/South Beach",3
"1444","601 MONTGOMERY ST",1978,"Chinatown",3
"1445","2211 PALOU AVE",1947,"Bayview Hunters Point",10
"1446","1237 MINNESOTA ST",1929,"Potrero Hill",10
"1447","699 8TH ST",1990,"South of Market",6
"1448","222 FRONT ST",1988,"Financial District/South Beach",3
"1449","100 BUSH ST",1929,"Financial District/South Beach",3
"1450","555 DE HARO ST",1900,"Potrero Hill",10
"1451","83 MCALLISTER ST",1907,"Tenderloin",5
"1452","1020 VALLEJO ST",1984,"Nob Hill",3
"1453","116 NEW MONTGOMERY ST",1901,"Financial District/South Beach",6
"1454","20 HAIGHT ST",1959,"Hayes Valley",6
"1455","701 MINNESOTA ST",1900,"Potrero Hill",10
"1456","595 SUTTER ST",1919,"Nob Hill",3
"1457","1135 ELLIS ST",1968,"Western Addition",2
"1458","2770 LOMBARD ST",1926,"Marina",2
"1459","1801 23RD AVE",1958,"Sunset/Parkside",4
"1460","135 POWELL ST",1909,"Tenderloin",3
"1461","191 SUTTER ST",1911,"Financial District/South Beach",3
"1462","675 ARTHUR AVE",1987,"Bayview Hunters Point",10
"1463","101 BROADWAY",1909,"Financial District/South Beach",3
"1464","2765 16TH ST",1929,"Mission",9
"1465","1 Henry Adams",2017,"Mission Bay",6
"1466","299 Valencia St",2012,"Mission",9
"1467","1155 Bryant St",1919,"South of Market",6
"1468","250 EXECUTIVE PARK BLVD",1986,"Bayview Hunters Point",10
"1469","1098 Harrison St",1924,"South of Market",6
"1470","301 MENDELL ST",1979,"Bayview Hunters Point",10
"1471","34 TURK ST",1909,"Tenderloin",5
"1472","425 MARKET ST",1973,"Financial District/South Beach",6
"1473","4350 GEARY BLVD",1937,"Inner Richmond",1
"1474","221 MAIN ST",1973,"Financial District/South Beach",6
"1475","175 TURK ST",1925,"Tenderloin",5
"1476","351 GEARY ST",1907,"Tenderloin",3
"1477","3132 CLEMENT ST",2002,"Outer Richmond",1
"1478","117 POST ST",1906,"Financial District/South Beach",3
"1479","501 2ND ST",1985,"Financial District/South Beach",6
"1480","930 MONTGOMERY ST",1927,"North Beach",3
"1481","1750 TAYLOR ST",1964,"Nob Hill",3
"1482","54 4TH ST",1914,"South of Market",6
"1483","1800 Owens St",2018,"Potrero Hill",6
"1484","1215 ELLIS ST",1971,"Western Addition",2
"1485","2801 VICENTE ST",1959,"Sunset/Parkside",4
"1486","2790 GREEN ST",1923,"Marina",2
"1487","570 MARKET ST",1922,"Financial District/South Beach",3
"1488","340 TOWNSEND ST",1987,"South of Market",6
"1489","522 CARTER ST",2004,"Excelsior",11
"1490","200 RHODE ISLAND ST",1912,"Mission Bay",6
"1491","230 8TH ST",1906,"South of Market",6
"1492","500 WASHINGTON ST",1983,"Chinatown",3
"1493","590 BAY ST",1974,"North Beach",3
"1494","1200 GOUGH ST",1966,"Western Addition",2
"1495","369 PINE ST",1918,"Financial District/South Beach",3
"1496","1167 MISSION ST",1917,"South of Market",6
"1497","300 South Van Ness Ave",2015,"Mission",9
"1498","950 FILLMORE ST",1971,"Western Addition",5
"1499","1199 BUSH ST",1991,"Nob Hill",3
"1500","49 STEVENSON ST",1989,"Financial District/South Beach",6
"1501","225 POWELL ST",1908,"Tenderloin",3
"1502","691 China Basin St",2021,"Mission Bay",6
"1503","39 NEW MONTGOMERY ST",1912,"Financial District/South Beach",6
"1504","350 MASONIC AV",2021,"Lone Mountain/USF",2
"1505","434 Minna St",2021,"South of Market",6
"1506","29 OAKWOOD ST",2008,"Mission",8
"1507","1177 HARRISON ST",1919,"South of Market",6
"1508","55 HAWTHORNE ST",1970,"Financial District/South Beach",6
"1509","21 COLUMBIA SQUARE ST",1994,"South of Market",6
"1510","2034 FILLMORE ST",1900,"Pacific Heights",2
"1511","185 POST ST",1907,"Financial District/South Beach",3
"1512","3550 CESAR CHAVEZ ST",1956,"Mission",8
"1513","1 ACEVEDO AVE",1942,"Lakeshore",7
"1514","15 BEATRICE LN",1978,"Bayview Hunters Point",10
"1515","1 HARRISON ST",1918,"Financial District/South Beach",6
"1516","601 4TH ST",1916,"South of Market",6
"1517","440 MISSION ST",1920,"Financial District/South Beach",6
"1518","150 POWELL ST",1995,"Financial District/South Beach",3
"1519","748 Van Ness Ave",2008,"Tenderloin",5
"1520","1755 FILBERT ST",1982,"Marina",2
"1521","1 BEACH ST",1971,"North Beach",3
"1522","301 8TH ST",1914,"South of Market",6
"1523","1466 POWELL ST",1908,"Chinatown",3
"1524","2375 Golden Gate Ave",1921,"Lone Mountain/USF",1
"1525","12 4TH ST",1999,"South of Market",6
"1526","1332 VAN NESS AVE",1912,"Nob Hill",3
"1527","50 LANSING ST",2006,"Financial District/South Beach",6
"1528","1550 BAY ST",1969,"Marina",2
"1529","620 JONES ST",1929,"Tenderloin",3
"1530","301 HOWARD ST",1987,"Financial District/South Beach",6
