Street Address	Business Start Date	Location Start Date	DBA Name
335 Noe St	2019-08-08	2019-08-08	Dumpling House
1621 Mcallister St	2016-06-30	2016-06-30	Willie's Delish Delights
812 San Pablo Ave 2	2019-01-23	2019-01-23	Kitchen@812
846 Bush St Apt 28	2019-03-15	2019-03-15	Sln Ctrng
470 Post St	2019-09-03	2019-09-04	Cafe La Tazita
11 Rebecca Ln	2017-08-14	2018-12-01	Bough Deli
1379 4th St	2020-01-01	2020-01-01	Rasa Rasa
550 Kearny	2019-10-02	2019-10-02	K Five Fifty
692 Sutter St	2016-06-21	2016-06-21	L'ottavo Ristorante
239 Del Prado Dr	2016-05-20	2016-05-20	Bonnibelle Centeno
1619 S Bentley Ave Unit 201	2018-04-01	2018-04-01	Smoke's Poutinerie
116 Townsend St	2019-06-26	2019-08-28	Reef Kitchens #5
1 Mobile Caterers	2016-01-22	2018-04-01	The Waffle Roost #2
3717 Balboa St	2017-10-10	2017-10-10	Butter Love Bakeshop
1632 Stockton St	2020-01-01	2020-01-01	North Beach Events Center
5300 Mission St	2017-01-06	2017-01-06	Taqueria Los Amigos
393 Hayes St	2018-03-23	2018-08-21	Doppio Zero
1860 48th Ave	2019-11-15	2019-11-15	Cream & Crumb Baking Co
401 Van Ness Ave	2018-07-23	2018-07-23	Cafe Valor
8 Mint Plz	2018-08-27	2021-02-01	Burma Love 2
5044 Geary Blvd Apt 4	2017-01-13	2017-01-13	Alex Solomon
1025 Market Street	2018-08-27	2018-08-27	Elixart
59 Midvale Dr Bldg	2018-04-01	2018-04-01	Royal
1528 California St	2018-03-14	2018-04-03	Nob Hill Herb Company LLC
468 Castro St	2016-01-04	2019-04-08	Saffron
1954 Union St	2016-01-06	2021-01-06	The Caviar Co.
2512 Clement St	2019-03-01	2019-03-01	Dumpling Alley
475 6th St	2019-09-16	2019-09-16	Family Style Delivered
1 Mobile Caterers	2018-03-18	2018-09-24	Al Pastor Papi
155 A South Park St	2019-08-08	2019-08-08	The Velvet Raven
364 Hayes St	2019-03-11	2019-03-11	Project Juice - Hayes
3601 Lyon St	2016-05-04	2018-02-22	Poke Delish
3910 Geary Blvd	2018-12-14	2018-12-14	3910 Lounge LLC
2401 Polk St	2017-02-28	2017-02-28	Little Kitchen
161 Mccreery Ave	2018-11-13	2018-11-13	Twister
709 Larkin St	2019-01-16	2019-01-16	A Twin Sweet
3659 Buchanan St	2018-08-17	2018-08-17	Mamo
900 Minnesota St	2017-03-01	2019-10-07	May Catering
2123 Polk St	2018-05-09	2018-05-09	Fusion Poki Inc.
2291 3rd St	2018-06-02	2018-06-02	Happy Cow Creamery & Tea LLC
1059 Powell St	2017-08-18	2017-08-18	Navin Thai Restaurant
543 Columbus Ave	2017-04-25	2017-04-25	Caffe Spuntino
1 Mobile Caterers	2016-01-22	2018-04-01	The Waffle Roost #1
328 West Portal Ave	2016-01-05	2016-01-05	Lost In The Fog LLC
360 Corbett Ave	2019-03-01	2019-03-01	Heroic Deli SF
4829 Mission St	2018-11-02	2018-11-02	Ty Sandwich
350 Turk St Apt 803	2019-07-08	2019-07-08	Porkie
3131 Fillmore St	2018-01-11	2018-01-11	Bar Crenn
108 Pier 3 St	2017-04-14	2017-04-14	Seaside
915 Stockton St	2019-12-17	2020-01-07	Sf Wines & Spirits
2311 Clement St	2019-05-14	2019-05-14	Top Sf Bbq
235 Berry St 103	2019-08-29	2019-08-29	Pao Bakery
410 Diamond St	2018-04-30	2018-04-30	Harvey-Made Cakes
1300 Polk St	2016-05-19	2016-05-19	The Huge Hotdog Concession
2469 15th Ave	2016-04-09	2016-04-09	The Green Gringos
103 Horne Ave	2019-01-01	2019-01-01	Pampa Bbq LLC
1136 Folsom St	2019-11-09	2019-11-09	Hk Lounge Bistro
319 Chenery St	2017-04-18	2017-04-18	Cocoa Collection
823 Clement St	2018-09-05	2018-09-05	Lost Marbles Brewpub
820 Bryant	2019-06-26	2019-09-18	Vessel Ca Operations
138 Church St	2019-07-02	2019-07-02	Beit Rima
708 Clement St	2017-03-22	2017-03-22	Clement Street Bar & Grill
2948 Folsom St	2018-11-09	2018-11-09	Bocadito Colombian Snackeria
2708 24th St	2018-01-01	2018-01-01	Destapas
2325 Pine St	2018-12-10	2018-12-10	Loving Cup Polk
S Park St A	2019-08-08	2019-08-08	The Velvet Raven
3230 22nd St 3234	2018-12-20	2019-04-30	World O F Noodle
101 Spear St Ste B 5	2016-03-17	2016-03-17	The Organic Coup
140 New Montgomery St	2018-04-01	2018-06-01	Trou Normand
95 Midvale Dr	2019-02-13	2019-02-13	Mizuki
853 Clay St	2016-05-01	2016-05-01	O Sweet Tea
1240 Noriega St	2019-04-03	2019-12-31	Phoward
816 Divisadero Street	2017-12-01	2017-12-01	Kiki's Cocktails
39120 Argonaut Way Unit 402	2017-10-02	2017-10-02	Afzal Khan Halal Food
270 IVy St	2016-05-23	2016-05-23	B****, I'm A Cupcake!
590 Valencia St	2018-09-11	2018-09-11	Piri Pica
333 Beale St 8h	2019-05-09	2019-05-09	Bente's Bakery
185 Berry St	2017-04-02	2017-04-02	Imagine Culinary Group @ Lyft
28 Belden Pl	2019-09-01	2021-04-01	Cafe Tiramisu
1862 Divisadero St	2018-06-17	2018-06-17	Presidio Pizza Company
1737 Buchanan St	2016-07-01	2016-07-01	Hinodeya
530 Valencia St	2017-02-01	2024-08-27	Krua Thai
1700 Post St	2019-04-04	2019-04-04	Dimples Cocktail Lounge
75 Hawthorne St	2016-06-08	2016-06-08	Fair Trade Cafe
3213 Pierce St Bldg	2018-06-01	2018-06-01	The Sandwich Spot
156 Second Street	2017-01-01	2017-01-01	Fraiche Catering Inc.
535 Octavia St	2018-12-10	2018-12-10	Loving Cup Octavia
415 Mission St Fl 13/14	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
2123 Polks St	2016-12-20	2016-12-20	Ahipoki
2760 Octavia St	2019-03-30	2022-02-01	Echigo
1620 Post St	2018-07-16	2019-02-26	Daeho Kalbijjim & Beef Soup
580 Hayes St Ste 2	2016-11-29	2016-11-29	Salt & Straw - Hayes
900 North Point St B201a	2018-05-30	2018-05-31	Palette Tea House
856 Skyline Drive Dr	2019-04-23	2019-04-23	Dulce Luna
2000 Mckinnon Ave 417	2017-05-04	2017-05-04	Sun Valley Produce & Trading Inc
2 Mari Off The Grid Locations C370	2017-01-13	2022-06-29	Off The Grid Locations
510 Brannan St	2019-11-21	2019-11-21	Reeves
2948 Folsom St	2017-06-21	2017-06-21	Sariwa
2235 3rd St Ste E209	2019-02-15	2019-02-15	Inas Khedr
6236 Third St Apt 4	2018-02-26	2018-02-26	A Burgger Dogg Diner
704 Valencia Street	2018-08-16	2018-08-16	Yellow Moto Pizzeria
1226 Folsom St	2018-04-12	2018-04-12	Treasure Chest Distributing
120 Mateo Ave	2016-11-01	2016-11-01	Postmates
1100 Franklin St	2018-04-03	2019-05-03	El Alambre
149 Huntington	2018-07-10	2018-07-10	Michael Allen Fain
136 Townsend St	2019-06-26	2019-08-19	Reef Kitchens
31 Sw Parkrose Sw Ave	2018-05-09	2020-05-09	Goonz&Sporks Streetfood
140 Mayhew Way Ste 400	2016-03-17	2019-03-14	The Organic Coup Food Truck
2960 Clement St	2019-08-25	2019-08-25	The Art Bistro
415 Winston Dr Apt 203	2017-11-10	2017-11-13	Morgan Rhym
633 Larkin St Apt 201	2016-12-29	2016-12-29	Opulent Chef
4913 Cache Peak	2019-07-26	2019-07-26	Instacart Shopper
1117 Independence Ave	2017-11-08	2017-11-08	Oaxacan Kitchen Mobile
244 Clement St	2018-02-25	2019-02-10	Portside Bakery
16 W Portal Ave	2016-03-11	2016-03-11	Lemonade
24 Willie Mays Pl View Lvl Rm 5326	2018-03-09	2018-03-26	95250 C& C Concessions/View Level Vending Room
3228 Sacramento St	2018-01-01	2018-01-01	Sorrel Restaurant
1031 Ocean Ave	2018-01-02	2018-01-02	Orchids Cafe
1574 9th Ave	2018-05-31	2018-05-31	Gawaram LLC
1377 Fell Street	2018-01-30	2019-04-15	Roti
777 Florida St Ste 306	2018-05-15	2018-05-15	Tartine All Day
1760 Cesar Chavez	2018-08-22	2018-08-22	Michelle Fabbro
2 Marina Blvd Fort Mas	2016-08-31	2016-08-31	Conchinita
1081 Noe St	2017-07-04	2017-07-04	David Upchurch Chocolatier
5901 Geary Blvd	2018-10-05	2023-01-31	Saltwater Bakeshop
180 Maryland St	2018-02-13	2022-10-21	Breadbelly
133 Cymbidium Cir	2017-10-24	2017-10-24	Mixwell
425 Mission St # P1	2019-08-23	2022-08-01	Sho One
3848 Geary Blvd	2017-02-27	2017-02-27	Bella 3848
1081 Post St	2019-05-06	2019-05-06	Ole Ole Burrito Express
2322 Lombard St	2019-08-02	2019-08-02	Twisted St. Cafe
6050 Geary Blvd	2018-12-10	2019-07-31	Bambu
6 6 St	2016-03-31	2020-01-22	Golden Burma Restaurant #2
1812 Clement St	2019-02-14	2019-02-14	Harajuku Sushi At 1920 Bar
133 6th St	2019-11-21	2019-11-21	Falafel Land
683 Brannan St Unit 308	2019-04-22	2019-04-22	Golden Goat Coffee
2175 Market St	2016-10-07	2017-02-22	What's Up Dog
55 Music Concourse Dr	2019-11-01	2019-11-01	Constellation Culinary Group
1315 Noriega St	2017-04-21	2017-04-21	China North Dumpling
1301 14th Ave Apt 17	2017-04-20	2017-04-20	Mouth Love
1 Ferry Bldg Ste 50	2018-02-25	2025-01-22	Portside Bakery
1002 Potrero Ave	2017-06-02	2017-06-02	Newkirk's
3251 20th Ave	2019-08-20	2019-10-09	Los Kuyas Catering
727 Sansome St 3	2018-09-04	2018-09-04	Virtual Kitchen Co
1900 Clement St	2019-05-06	2019-05-06	Breadchu
4701 Geary Blvd	2018-04-25	2018-04-25	The Hearth
701 2nd Street	2019-01-01	2019-01-01	The Brixton South
191 Warriors Way Ste 101	2019-09-12	2019-10-16	Dumpling Time
846 Geary St	2019-08-14	2019-08-14	Fishmandu Sushi
1700 Laguna St	2017-03-23	2022-09-23	Chika & Sake
103 Horne Ave	2017-08-10	2018-03-14	La Boquita Kitchen
106 Eureka St Apt 4	2017-02-10	2017-02-10	Oscar Platero
3223 Webster St	2016-01-06	2016-01-06	The Caviar Company
577 Geary St	2019-01-01	2019-01-01	Miss Tomato Sandwich Shop/Geary St
69 Cambon Dr	2019-09-16	2019-09-16	Papa Johns
393 Eddy St	2018-02-05	2018-02-28	Aladdin House
522 Jones St	2019-03-01	2019-03-01	Red Chilli
132 Bush St	2019-12-01	2019-12-01	Sushi Umi
660 Bush Street St Apt 201	2019-04-17	2019-04-17	Teacup & Sandwiches
667 N Commercial N Dr Bldg 667	2019-05-15	2019-06-10	Panicha Inc. /Dba Schilling & Co
1 Montgomery St	2019-08-16	2022-04-26	Treats By The Bay
3251 20th Ave	2018-01-22	2018-06-15	Churros Madrid
1300 Noriega St	2016-11-16	2016-11-16	Golden Island Cafe
1 Mission Bay St	2018-05-09	2018-05-09	Little Creatures Brewing Company
701 Cole St	2018-03-30	2019-03-26	Bite Me Sandwiches
103 Horne Ave	2019-09-09	2019-09-09	Brad's Bar Jars
3230 & 3234 22nd St	2017-05-15	2017-05-15	Munchie
2598 San Bruno Ave	2018-08-16	2018-08-16	Fat Beli Deli
4 Embarcadero Ctr	2016-05-23	2017-10-15	Breaking Bread
5 Embarcadero Center	2018-05-10	2018-05-10	Crepe & Curry
1750 Cesar Chavez St	2016-11-01	2018-08-01	Barzotto Catering
3915 24th St	2019-05-07	2019-05-07	Sultans Kebab
2175 Market St Unit Q	2016-05-01	2016-05-02	The Myriad Market
303 Sacramento St	2016-07-05	2016-07-05	The Grub-Bies
58 Bertha Ln	2019-05-13	2019-05-13	Rome's Kitchen
2 Marina Blvd Bldg A	2018-08-01	2018-08-01	Radhaus
1166 Geneva Ave	2018-03-01	2018-03-01	Broken Record Kitchen
3251 20th Ave 250g	2018-08-13	2018-08-13	Shihlin
600 South Van Ness	2018-09-02	2018-09-02	Phill's Phire Phoods
109 Buchanan St Apt 6	2019-01-01	2021-07-02	Tartwheels
3408 26th St	2016-05-06	2016-05-06	Chaska Deli Coffee
425 1st St Apt 2702	2017-12-12	2018-01-05	The Brew Coop
900 North Point St K201	2018-07-30	2018-07-30	The Cheese School Of San Francisco
2295 3rd St	2018-01-30	2018-01-30	Wooly Pig
222 Battery St	2016-07-19	2016-07-19	Homegrown Sustainable Sandwiches
1737 Post St #375	2016-08-26	2016-08-26	Nande-Ya
615 Sacramento St	2017-06-01	2017-06-01	Crown & Acre
607 Geary St	2016-12-05	2019-03-18	Kinara
77 Battery St	2018-03-05	2018-03-21	77 Chinese And Vietnamese Cuisine
343 Jules Ave Bldg	2016-09-29	2016-09-29	Makan
5423 Geary Blvd	2016-11-02	2016-11-02	Swamp Restaurant
3 Embarcadero Ctr Fl 20	2019-10-28	2021-06-15	Cooley Llp
354 Clement St	2018-12-19	2020-03-01	Kuro Express
853 Clay St	2017-10-14	2017-10-14	Tiger Tong LLC
356 Richland Ave 356	2018-01-10	2019-04-28	Bernal Bears
1862 Anne Way	2018-02-13	2018-02-13	Crispy Gals
2351 Mission St	2019-07-01	2019-07-01	Down With This Sort Of Thing, LLC
333 1st Street Apt N103	2017-07-06	2017-07-06	Sweetnesssf
1490 Sacramento St Apt 2a	2018-06-01	2019-11-04	Deck The Halls
1599 Howard St	2017-12-22	2017-12-22	Blue Marble Cafe
300 16th Street 23	2019-06-10	2019-06-10	Belly
2348 Polk St	2016-04-05	2016-04-05	Lemongrass SF
4400 17th St	2019-03-12	2019-03-12	Corona Heights Market & Deli
521 A 3rd St	2019-03-01	2024-03-01	IVsf Catering
125 Ellis St	2018-09-12	2019-04-10	Sushi Nagai
648 Pacific Avenue	2019-01-01	2019-01-01	Yin Du Wonton Noodle Inc
1270 Valencia St	2016-04-01	2016-04-01	Barzotto
773 Market St	2019-11-01	2019-11-01	Han Yu
530 Turk St	2019-06-26	2019-08-19	Reef Kitchens
288 Golden Gate Ave	2017-08-15	2017-08-15	Himalayan Pizza & Momo
2150 Lombard St	2017-10-26	2017-10-26	Home Plate
41 Newburg St	2016-02-01	2016-02-01	Crimson Kitchen
2400 Folsom St	2019-08-31	2019-10-01	Base Camp Nepal
1184  Geneva Ave	2019-01-07	2019-01-07	Bro's Cafe
506 Castro St	2019-03-11	2019-03-11	Project Juice - Castro
1600 Battery E St Ste 100	2019-05-21	2022-02-24	Mise En Place
79 42nd Avenue	2018-05-16	2018-05-16	Bek Suvankulov Grubhub
1123 Folsom St	2019-03-01	2019-03-01	IVsf Catering
10 United Nations Plz	2019-09-06	2019-11-08	Sam Choy's Poke To The Max
201 Van Ness Ave	2018-07-23	2018-07-23	Davies Symphony Hall
73 Calvert Ct	2018-05-16	2018-05-16	Sorabol Korean Bbq And Asian Noodles
350 Bush St Ste 200	2018-06-04	2018-06-04	Guckenheimer Services, LLC @ Twitch
1 Ferry Building Ste Na50	2018-06-01	2022-10-18	Peaches Patties
2154 Mission St	2019-05-01	2019-05-01	District Tea
2301 Mission St	2019-01-11	2019-01-11	Inca Juices
925 Blossom Hill Rd Ste 2005	2019-05-28	2019-05-28	Noobowl
1355 Market St Fl 1	2019-03-11	2019-03-11	Project Juice - Market
426 Brannan St	2017-07-27	2017-08-24	Brickhouse
523 Grand Ave Apt 2	2017-07-03	2017-07-03	Cochinita
244 Clement St	2017-10-01	2021-01-03	Clement Farmers Market
199 Museum Way	2017-07-11	2017-07-11	Cafe Josephine
1000 Larkin St	2016-05-18	2016-05-19	The Saratoga
4036 Balboa St	2016-04-12	2016-04-12	Oyogu Sushi
776 Broadway St	2017-12-31	2018-07-01	Tancca
1566 Carroll Ave	2019-10-01	2020-05-28	Slider Shack LLC
311 Wilde Ave	2017-02-20	2017-02-20	Foggy Freddy's Fusion Barbeque
448 Balboa St	2017-12-21	2018-03-27	Grinders Pizzeria
146 Leavenworth St	2019-07-26	2019-07-26	Manifeast, LLC
1941 Oak Park Blvd #10	2017-01-19	2017-01-19	Lantern Catering Inc
2201 Van Ness Ave	2017-10-25	2017-10-25	Peter Ds Restaurant
Pier 15 The Embarcadero	2016-01-22	2016-03-31	Seismic Joint
5810 Mission St	2018-08-08	2018-08-08	Donna Willis
380 Bush St Ste 5	2019-04-15	2022-06-17	Seoul Bunsik
3620 Balboa St	2018-03-28	2018-03-28	Purplekow
823 Ingerson Ave	2017-07-03	2017-07-03	Le Sucre Pastry And Dessert Co
928 Divisadero St	2018-03-08	2018-03-08	Ichido, LLC
400 3rd St	2019-12-25	2019-12-25	Hibachi Truck
534 Irving St	2018-09-06	2020-10-22	Foghorn Taproom
67 Rolph St	2018-03-20	2018-03-20	Tumi - Peruvian Bakery
3033 24th St	2018-05-22	2024-06-21	Vallarta's Taco Bar
2 Townsend St Apt 2511	2017-03-01	2017-04-01	Momnoms
1760 Cesar Chavez Unit L	2019-03-27	2019-09-30	Chicken As Cluck
3501 Mission St	2017-06-09	2017-06-09	Tilak Gurung Dba Spicy Bites
682 Haight St	2019-10-25	2019-10-25	Otra
581 Valencia St	2017-03-27	2020-08-27	Jake's Steaks Mission
338 Main St Unit 18c	2019-11-15	2019-11-15	Probiotic Labs, Inc.
218 Shaw Rd	2019-10-31	2019-11-04	Oh My Wheelcake
6 Rotteck	2019-09-09	2019-09-09	The Homemade Chocolate Chip Cookie Co.
1117 Ocean Ave Unit 102	2019-08-27	2019-08-27	Umai Savory Hot Dogs #108
2751 21st St	2019-10-21	2019-10-21	Coffeeshop
3331 24th St	2018-02-09	2018-02-09	Diana's Adventure
205 Franklin St	2017-02-09	2021-02-25	Lazy Susan
3321 Steiner St	2016-11-09	2016-11-09	Boho
940 Market St	2019-05-01	2018-08-17	Abe's Pizza
2075 Sutter St Apt 507	2016-08-01	2016-08-01	Krantz
728 Vallejo St	2019-07-22	2019-07-22	Subnation
1470 Fulton St Apt 10	2016-07-01	2022-02-01	Chilicali
1318 Grant Ave	2019-09-10	2019-09-10	Portofino
3161 24th St	2019-03-06	2021-08-20	Donaji
42952 Via Valparaiso	2017-02-22	2017-02-22	Chaat Bites
661 Divisadero St	2017-10-26	2017-10-26	Barvale
121 Spear St	2018-06-11	2018-06-26	Guckenheimer @ Google Rincon - Breakrooms Floors 2-4
Off The Grid	2019-01-11	2019-02-19	Mashallah Halal Food Truck Ind
1 Mobile Caterers	2019-03-18	2019-03-26	Lamas Peruvian Food Truck
1220 Pine St Apt 6	2016-11-29	2016-11-29	I&H Love Eating Holding LLC
725 Greenwich St	2017-08-11	2021-07-27	Obour Foods, LLC
1 Ferry Plz Ste	2018-08-13	2023-04-13	The Vegan Hood Chefs
101 Hyde St	2017-08-14	2020-03-02	Boug Cali
1408 Clement St	2018-02-13	2018-02-13	Breadbelly
513 Divisadero St	2016-08-01	2016-08-01	Namu Stonepot
1740 Church St	2017-11-01	2019-09-05	Oki Sushi
3558 23rd Street St	2017-09-07	2017-09-07	Sean's Market Cafe
110 Bldg Hunters Pt Shipyard	2017-01-13	2017-01-13	Norys Kitchen
3251 20th Ave 5517	2019-08-23	2019-08-23	Splash Fruits
555 California St	2018-02-15	2018-02-15	555 California Street Restaurant
1 Mobile Caterers	2019-06-26	2019-08-21	Reef Kitchens
2567 Mission St	2018-11-01	2020-01-17	Klatch Coffee - SF
700 Columbus Ave	2016-02-09	2016-02-09	Peppercorn LLC
1030 Polk St	2019-04-13	2019-04-13	Maison Danel
10 6th St	2017-06-01	2017-06-01	The Rumpus Room
438 Beach St	2019-05-20	2019-07-11	Burgerim
1261 Folsom St Retail	2018-10-01	2018-10-01	Avocado & Company
340 Ofarrell St	2016-03-31	2016-03-31	The Halal Guys
2348 Polk St	2019-12-24	2019-12-24	Lemongrass Thai Cuisine
1327 31st Ave Apt 4	2017-10-10	2017-10-10	Kinpenya
5698 3rd St	2018-07-01	2021-05-01	Bayview Makers Kitchen
540 Verducci Dr	2018-09-24	2018-09-30	Gram Cafe & Pancakes
1760 Cesar Chavez Ste L	2019-10-26	2019-10-27	Chicken As Cluck
3251 20th Ave	2017-08-31	2017-08-31	Hidden Star Orchards @Stonestown Farmers Market
1515 Polk St	2017-04-16	2017-04-16	Nara Sushi
415 Mission St Fl 17/18	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
418 Judah St	2017-08-01	2017-08-01	Jackychen China Bistro
733 Washington St	2018-10-01	2022-04-01	Hon's Wun Tun House
3215 Mission St	2016-08-31	2017-07-07	Outer Orbit
601 Mission Bay Blvd	2018-03-18	2018-10-01	Al Pastor Papi
482 Filbert St	2019-07-29	2019-07-29	Kora
350 Mission St Ste 200	2018-06-01	2018-08-27	Trailblazer Tavern
1355 Market St	2016-02-02	2016-02-02	Poke Bar
850 Front St	2016-06-15	2016-06-15	Off The Grid  Vallejo And Front
5 Embarcadero Ctr	2016-09-26	2020-01-23	Iku
Haight St	2016-07-01	2016-07-01	Club Deluxe
3860 Cesar Chavez St	2017-02-10	2017-02-10	Meat Cheese Wine Beer
6748 Mission St 410	2019-01-31	2019-02-01	California's Gold
517 Clement Street	2018-01-01	2019-06-28	Mamahuhu
103 Horne Ave	2018-08-13	2019-07-22	The Vegan Hood Chefs
737 Post St 415	2016-07-15	2016-07-15	Foh Consulting
328 W Portal Ave	2016-01-05	2016-01-05	The Dubliner West Portal
176 2nd St	2016-11-15	2021-12-01	Neighbor Bakehouse Cart
112 Schooner Cove	2017-11-28	2017-11-28	Haley Mcnicoll's Celtic-American Eatery
214 Sutter St	2019-11-12	2019-11-12	Chicken Little
350 Mission Street	2017-04-27	2017-04-27	Salesforce Mission
627 Irving St	2019-03-20	2019-03-20	Pluto's
331 Cortland Ave	2018-06-01	2018-06-01	Peaches Patties LLC
335 Buckingham Way Way Apt 305	2019-08-22	2019-08-22	Food Girl
4501 Geary Blvd	2019-08-20	2020-08-25	Los Kuyas Catering LLC
340 Hayes St 503	2017-07-09	2017-07-09	Trio Catering Bay Area
523 Broadway St	2018-07-16	2018-07-16	Urban Curry
545 Post St	2016-04-26	2016-04-26	Rambler
2268 Chestnut St	2018-12-12	2019-04-23	Virtual Kitchen Co
1377 Fell St	2019-10-01	2019-10-11	Jaden’s Kettle Corn
180 Howard St Ste G2	2018-04-05	2018-04-05	Banh Mi King
809 Bush St	2016-06-08	2023-08-18	Jasmins
1355 Market St Ste 120	2019-09-12	2019-09-12	Hotbird
525 Valencia St	2017-02-01	2017-03-21	Blue Pea
420 Folsom St	2019-03-07	2021-04-12	Bluestone Lane
65 Cambon Dr	2019-01-29	2019-01-29	Poke Kana
166 West Portal Ave	2019-04-01	2019-05-10	Juice Portal
410 China Basin St	2018-04-19	2018-08-01	Parklab Junction
32 6th St	2019-01-01	2019-01-01	Tassili Food
699 Columbus Ave	2018-04-23	2018-05-29	Freshway Fish
Space A-201	2016-12-22	2016-12-22	Eagle Cafe
1620 Palmetto Ave Apt 6	2018-06-07	2018-06-07	Lucas Catering
2609 San Bruno Ave Ste# A	2018-08-22	2018-11-01	888 Luck Store
244 Clement St	2019-03-12	2023-05-14	Sowl Bowls Thai Street Food
928 Geary St	2018-04-17	2018-04-17	Irving Pizza
601 Van Ness Ave E3209	2016-08-23	2016-08-23	Crostini And Java
22 Peace Plz Ste 530	2018-10-04	2018-10-04	Sasa Japanese Restaurant
4448 Mission St	2017-09-05	2018-04-23	Golden State Grill LLC
632 7th Ave	2016-11-22	2016-11-22	The Food Bus
1099 Mission St	2018-04-01	2018-04-01	Subway Sandwiches #36339
2152 3rd St	2016-10-24	2017-05-03	Greenbox
1910 Fillmore St	2017-04-19	2017-04-19	Samovar Tea Fm LLC
572 O'farrell St	2017-08-01	2017-08-01	Eden Silk Road SF
1799 Union St	2019-07-19	2022-01-01	1799 Union Street
1230 Market St	2016-05-17	2016-05-17	Fermentation Lab
1825 Irving St	2018-02-16	2018-02-20	Sf Hole In The Wall Pizza
4159 El Camino Way Way Ste P	2018-08-01	2018-08-01	Teaspoon
1355 Willard St #4	2016-10-26	2016-10-26	Young Fava
501 Fell Street	2016-09-01	2016-09-01	Mazzat
702 Broderick St Apt B	2017-12-19	2017-12-19	Mojo Consilting
3611 California St	2016-02-18	2016-02-18	Pomodori
690 Indiana St	2018-12-18	2022-06-21	Butter&
350 Mission St Fl 16/17	2017-12-27	2019-03-14	Aramark Rfs
2213 Fillmore St	2016-12-19	2017-10-12	Joe & The Juice
280 Newhall St	2016-08-08	2016-08-08	280 Newhall St
389 7th	2018-12-12	2018-12-12	Vegan Provisions
1977 Union St B	2019-09-13	2019-09-13	Eleven Eleven
1342 Irving St	2017-10-15	2017-10-15	The Game Parlour
1775 32nd Avenue	2018-06-25	2018-06-25	String Music Inc
1124 Victory Lane	2016-07-20	2016-07-20	Jackson Kim
240 Lombard St Unit 239	2020-01-01	2020-01-01	Palate Iq Inc
2881 13th St	2018-06-01	2018-06-01	Delvin Garcia Construction
200 Folsom St	2018-04-19	2018-04-19	Parklab Ntbt, LLC
99 Drumm St	2020-01-01	2020-01-01	Happy Lemon
1501 Ocean Ave	2017-07-01	2017-07-01	Lucky Ocean Cafe
709 O'farrell St	2016-08-31	2016-08-31	Los Colores Taqueria & Grill
120 Ellis St	2019-08-16	2019-08-16	Treats By The Bay LLC
629 Catamaran St Apt 3	2018-04-21	2018-04-21	Les Garcons California Bistro And Grill
590 Van Ness Avenue	2017-11-09	2017-11-09	Rangoon Ruby Burmese Cuisine
1683 44th Avenue	2016-11-12	2016-11-12	Lily's Bakery
2132 Chestnut St	2018-10-03	2018-10-03	Starbucks Reserve #531
63 Powell St	2016-06-01	2016-06-01	Ike's Press
333 Market St	2016-02-17	2016-02-17	Noodleme
2348 2348 Polk St	2019-12-24	2019-12-24	Lemongrass Thai Cuisine
501 Buckingham Way	2019-03-12	2023-05-14	Sowl Bowls Thai Street Food
2469 15th Ave	2016-04-04	2016-04-04	The Green Gringos
420 Judah St	2019-08-29	2019-08-29	Kintsugi
2193 Mission St	2017-07-14	2017-07-14	Tawara
3251 20th Avenue, Suite 158, #Op184a	2018-08-22	2018-08-22	85c Bakery Cafe
550 Montgomery St Fl 10	2016-03-25	2023-12-19	The Amador Club
272 Claremont Blvd	2019-03-12	2024-01-23	Khao Tiew
123 2nd St	2016-07-05	2017-08-02	The Grubbies
4845 Mission St	2017-06-12	2017-06-12	Mission Noodle House
1 Ferry Plz Bldg Kiosk 5	2017-08-14	2024-01-29	Palmvy Hot Dogs
1522 Fillmore St	2017-01-01	2017-01-01	Boba Guys
131 Crown Circle	2018-01-11	2018-01-11	Pizzeria Avellino
601 Brickell Key Dr	2019-06-26	2019-06-26	Reef Kitchens
206 Valencia St	2019-06-20	2019-06-20	Sushi Shio
3244 Scott St	2019-02-19	2019-02-19	Sf Hole In The Wall Pizza
2948 Folsom St	2017-05-25	2018-02-13	El Pipila LLC
43 Lobos St	2019-03-06	2019-03-06	Local Catering
2045 Irving St	2018-10-01	2018-10-01	My Eva Inc
761 Fillmore	2017-01-01	2017-01-01	Chef's Press LLC
1 Alder St	2019-08-01	2019-08-01	Bird & Bloom
425 Mission St 121	2019-01-22	2019-01-22	Tycoon Kitchen
595 Pacific Ave Fl 4	2019-11-15	2020-07-17	Probiotic Labs, Inc.
2515 Sacramento St	2016-07-01	2016-07-01	Palette SF
103 Horne Ave Bldg	2018-03-08	2020-09-02	Ichido, LLC
160 14th St	2016-07-01	2020-06-01	Chilicali LLC
1544 Hyde St	2017-02-08	2017-02-08	Crazy Curry
Valencia Street	2018-08-16	2018-08-16	Yellow Moto Pizzeria
685 Dolores St	2017-02-14	2017-02-14	Yorimichi
411 Ellis St	2018-10-05	2018-10-05	Mom's Banh Mi
710 Post St	2019-03-18	2019-03-18	El Tesoro Taqueria And  Grill
2948 Folsom St	2016-06-02	2016-06-02	La Cocina
1796 Union St	2019-11-26	2019-11-26	Palm Acai Cafe
