Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
0674/033	Kokoro Assisted Living Facility	1881 BUSH ST	94109	64827	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0674/033	1895			POINT (-122.428133904 37.78743837)	-122.42813390427533	37.787438369982475	Pacific Heights	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0288/027	130 Sutter	130 SUTTER ST	94108	68400	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0288/027	1917	04/01/2024	Did Not Comply	POINT (-122.403039694 37.790237279)	-122.40303969399056	37.79023727931971	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0336/030	Sala Burton	430 TURK ST	94102	102222	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0336/030	1987			POINT (-122.416572514 37.782759544)	-122.41657251423702	37.782759544006666	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0808/064	475 GOUGH ST	475 GOUGH ST	94102	95299	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0808/064	2014			POINT (-122.423560369 37.777492417)	-122.4235603687306	37.777492417133985	Hayes Valley	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0738/018	Vance Apartments (vn307)	830 Eddy St	94109	167909	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0738/018				POINT (-122.421646375 37.783051902)	-122.4216463746118	37.78305190200263	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0031/008	2351 Powell	2351 Powell St	94103	164167	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0031/008	1968			POINT (-122.412869144 37.806191438)	-122.41286914351842	37.806191438104506	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0297/005	The Olympic Club	524 POST ST	94102	259424	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0297/005	1912	04/01/2026	Upcoming	POINT (-122.41098523 37.788251709)	-122.41098522999143	37.78825170943204	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0204/023-A	Four Maritime Plaza	250 CLAY ST	94111	13491	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0204/023-A	1967	04/01/2020	Pending - Contracted	POINT (-122.398489755 37.795700919)	-122.39848975526354	37.79570091862169	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3706/270	FOUR SEASONS HOTEL	757 MARKET ST	94103	1110000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3706/270	2001	04/01/2022	Did Not Comply	POINT (-122.40430333 37.786211978)	-122.4043033295712	37.786211978140244	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0811/031	101 POLK ST	101 POLK ST	94102	155218	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0811/031	2016			POINT (-122.41840379 37.777729735)	-122.4184037895862	37.77772973530472	Tenderloin	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
