Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
0742/014	Eastern Park Apartments	711 EDDY ST	94102	171508	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0742/014	1979			POINT (-122.419564578 37.782767679)	-122.41956457811418	37.782767678588755	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3571/031	2050-2070 FOLSOM ST	2050-2070 FOLSOM ST	94110	103632	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3571/031	2021			POINT (-122.415742569 37.764271264)	-122.41574256864344	37.76427126409111	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0316/002	Mason O'Farrell Garage	325 MASON	94102	384162	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0316/002	1955	04/01/2030	Upcoming	POINT (-122.41032732 37.786421548)	-122.4103273196739	37.786421548465746	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0622/020	1776 SACRAMENTO ST	1776 SACRAMENTO ST	94109	130887	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0622/020	1920			POINT (-122.422098201 37.791618309)	-122.42209820053206	37.791618308792216	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3593/001	2300 Harrison Street	3101 19TH ST	94110	68538	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3593/001	1913	04/01/2025	Upcoming	POINT (-122.413200415 37.760290626)	-122.41320041505402	37.76029062620603	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0324/026	GLIDE - 302 ELLIS ST	302 ELLIS ST	94102	19662	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0324/026	1930	04/01/2024	Did Not Comply	POINT (-122.411440029 37.785224307)	-122.41144002925651	37.78522430725852	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3760/027	475 6TH ST	475 6TH ST	94107	14400	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3760/027	1927	04/01/2021	Did Not Comply	POINT (-122.402601649 37.77657627)	-122.4026016492405	37.77657627035846	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0306/026	441 MASON ST	441 MASON ST	94102	152925	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0306/026				POINT (-122.410370531 37.787825194)	-122.4103705311002	37.787825194333486	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3703/058	1035 Market St	1035 MARKET ST	94103	95832	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3703/058	1912	04/01/2020	Pending - Contracted	POINT (-122.410784871 37.781219231)	-122.41078487065225	37.78121923109503	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3529/051	OfficeMax Store 582	1750 HARRISON ST.	94103	23520	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3529/051	1996	04/01/2026	Upcoming	POINT (-122.414034612 37.76903693)	-122.41403461232565	37.76903693031091	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0030/008	Cost Plus Plaza	2552 TAYLOR ST	94133	75416	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0030/008	1986	04/01/2024	Did Not Comply	POINT (-122.414291492 37.805819765)	-122.41429149215638	37.80581976518873	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0692/012	1100 POLK ST	1100 POLK ST	94109	67819	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0692/012	1917			POINT (-122.41971851 37.787110573)	-122.41971850992418	37.78711057323854	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3571/001	2000 Folsom	2000 FOLSOM ST	94110	90045	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3571/001	0	04/01/2025	Upcoming	POINT (-122.415507772 37.765027176)	-122.41550777163843	37.76502717634167	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0655/006	STEINER MEDICAL OFFICE BLDG	2015 STEINER ST	94115	21482	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0655/006	1907	04/01/2021	Did Not Comply	POINT (-122.435621678 37.787881957)	-122.43562167825263	37.78788195665087	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3782/003	Dolby Labs Headquarters	999 BRANNAN ST	94103	173292	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3782/003	1986	04/01/2026	Upcoming	POINT (-122.406279461 37.770096016)	-122.40627946085934	37.77009601617911	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3731/240	Westbrook Plaza	255 7TH ST	94103	118344	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3731/240				POINT (-122.408424168 37.777663258)	-122.408424168468	37.77766325794109	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
2019/016	Safeway 985	2350 NORIEGA ST	94122	70320	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=2019/016	1986	04/01/2024	Pending - Contracted	POINT (-122.488819535 37.754127572)	-122.48881953507927	37.75412757151398	Sunset/Parkside	4	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3768/136	403 MAIN ST	403 MAIN ST	94105	318466	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3768/136				POINT (-122.389643054 37.788008364)	-122.38964305410175	37.78800836444877	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0260/003	Shanghai Commercial Bank Building	231 SANSOME ST	94104	24444	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0260/003	1925	04/01/2029	Upcoming	POINT (-122.40128965 37.792486771)	-122.40128965025686	37.79248677102151	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0136/003	921Front	921 FRONT ST	94111	20280	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0136/003	1900	04/01/2024	Did Not Comply	POINT (-122.4004648 37.799854609)	-122.40046480011502	37.799854608508134	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0260/004	217 SANSOME ST	217 SANSOME ST	94104	10588	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0260/004	1908	04/01/2025	Upcoming	POINT (-122.401269696 37.792389875)	-122.40126969585182	37.79238987467631	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0204/019	Seven to Nine Maritime Plaza	444 BATTERY ST	94111	13418	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0204/019	1967	04/01/2020	Pending - Contracted	POINT (-122.399943545 37.795514329)	-122.39994354466887	37.79551432933224	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0714/016	1001 VAN NESS AVE	1001 VAN NESS AVE	94109	268000	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0714/016	2020			POINT (-122.421910846 37.784929754)	-122.42191084559259	37.78492975443753	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0311/005	660 Market Street	660 MARKET ST	94104	56019	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0311/005	1924	04/01/2022	Pending - Contracted	POINT (-122.402971703 37.788478933)	-122.40297170256538	37.788478932892744	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1921/001	1601 22ND AVE	1601 22ND AVE	94122	19000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1921/001	1939	04/01/2022	Did Not Comply	POINT (-122.480309575 37.757538188)	-122.48030957521789	37.75753818827576	Sunset/Parkside	4	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0014/001	Radisson Fisherman's Wharf	250 BEACH ST	94133	283951	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0014/001	1963	04/01/2018	Did Not Comply	POINT (-122.413250303 37.808053669)	-122.41325030319739	37.80805366890866	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3780/078	083-San Francisco	836 BRANNAN ST	94103	45904	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3780/078	2001	04/01/2019	Did Not Comply	POINT (-122.404474024 37.772561703)	-122.40447402383627	37.77256170310951	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0350/004	1072 MARKET ST	1072 MARKET ST	94102	48811	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0350/004	1911	04/01/2028	Upcoming	POINT (-122.411800477 37.781455059)	-122.41180047660025	37.78145505902248	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3703/067	1049 Market St	1049 MARKET ST	94103	54500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3703/067	1907	04/01/2020	Did Not Comply	POINT (-122.411033458 37.78110493)	-122.41103345766315	37.78110493005002	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3519/005	360 9th St	350-360 9TH ST	94103	22800	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3519/005	1920	04/01/2030	Upcoming	POINT (-122.411031961 37.77293999)	-122.41103196093577	37.77293998960031	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3703/063	1067 Market St	1067 MARKET ST	94103	30000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3703/063	1924	04/01/2020	Did Not Comply	POINT (-122.411462108 37.78076546)	-122.41146210758669	37.78076546042099	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0341/006	948 MARKET ST	948 MARKET ST	94102	42822	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0341/006	1907	04/01/2020	Did Not Comply	POINT (-122.408964079 37.783709965)	-122.40896407874618	37.783709965143785	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0938/016	La Luna Inn	2599 LOMBARD ST	94123	16394	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0938/016	1957	04/01/2024	Did Not Comply	POINT (-122.443910093 37.798557295)	-122.44391009313482	37.798557294794264	Marina	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3780/008	541 8TH ST	541 8TH ST	94103	13824	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3780/008	1937	04/01/2026	Upcoming	POINT (-122.406091741 37.772226089)	-122.40609174052474	37.772226088630696	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0056/002-B	LPF 1725 Montgomery	1701 MONTGOMERY ST	94133	43193	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0056/002-B	1906	04/01/2020	Did Not Comply	POINT (-122.405810164 37.804968342)	-122.40581016380008	37.80496834167792	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3785/009	651 BRANNAN ST	651 BRANNAN ST	94107	172415	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3785/009	1911	04/01/2027	Upcoming	POINT (-122.399630757 37.775227253)	-122.39963075697526	37.775227253125195	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3748/390	340 Fremont Apartments	340 FREMONT ST	94105	514531	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3748/390	2016			POINT (-122.3929768 37.78706681)	-122.39297679986895	37.7870668098953	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0312/009	C&W GMIC 49 Geary	49 GEARY STREET	94108	146134	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0312/009	1912	04/01/2026	Upcoming	POINT (-122.404371429 37.787431617)	-122.40437142853321	37.78743161726269	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0173/005	607 FRONT ST	607 FRONT ST	94111	15763	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0173/005	1906	04/01/2024	Did Not Comply	POINT (-122.399915242 37.797152216)	-122.39991524191855	37.7971522161276	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0636/038	Kennedy Towers (JFK Towers)	2451 SACRAMENTO ST	94115	67790	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0636/038	1900			POINT (-122.433194505 37.789661004)	-122.4331945050582	37.789661003781006	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5981/011	NEMS - San Bruno	2574 SAN BRUNO AVE	94134	24000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5981/011	2010	04/01/2029	Upcoming	POINT (-122.40447961 37.729024574)	-122.40447961037869	37.729024574276764	Portola	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3726/117	Hotel Americania	121 7TH ST	94103	124147	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3726/117	1961	04/01/2028	Upcoming	POINT (-122.409913927 37.778943258)	-122.4099139271992	37.778943258150385	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0804/013	Hayes Adult Residence	890 HAYES ST	94117	126500	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0804/013	1900			POINT (-122.430902306 37.776159026)	-122.4309023062076	37.776159025758005	Hayes Valley	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1145/003-T	Toler Hall	2345 Golden Gate Ave	94117	119324	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1145/003-T		04/01/2024	Did Not Comply	POINT (-122.450139134 37.776445656)	-122.45013913414225	37.776445655890896	Lone Mountain/USF	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3820/004	1111 8th St	1111 8TH ST	94107	146836	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3820/004	0	04/01/2029	Upcoming	POINT (-122.398918413 37.767864629)	-122.39891841327483	37.76786462922863	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3730/011	290 7TH ST	290 7TH ST	94103	13600	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3730/011	1926	04/01/2020	Did Not Comply	POINT (-122.408239864 37.7767436)	-122.40823986403154	37.77674359971701	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0350/003	50 JONES	1060-1066 Market St,  San Francisco, CA 94102	94102	303000	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0350/003	2020			POINT (-122.41174159 37.781799008)	-122.41174159027618	37.78179900767791	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0508/028	Coventry Motor Inn	1901 LOMBARD ST	94123	24840	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0508/028	1984	04/01/2026	Upcoming	POINT (-122.433014566 37.799967901)	-122.4330145659702	37.79996790051924	Marina	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3756/003	350 8TH ST	350 8TH ST	94103	349188	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3756/003	2017			POINT (-122.40965844 37.773694166)	-122.4096584398246	37.77369416631587	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3708/056	525 Market Street	525 MARKET ST	94105	1203154	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3708/056	1973	04/01/2026	Upcoming	POINT (-122.399275885 37.790406733)	-122.3992758846584	37.79040673348983	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5921/020	1390 SILVER AVE	1390 SILVER AVE	94134	31132	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5921/020	1964	04/01/2030	Upcoming	POINT (-122.408874484 37.731128596)	-122.40887448439824	37.73112859633268	Portola	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0023/003	555 BEACH ST	555 BEACH ST	94133	15706	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0023/003	1951	04/01/2030	Upcoming	POINT (-122.418012713 37.806817972)	-122.4180127134869	37.80681797177564	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0111/002	LPF 50 Green	50 GREEN ST	94111	104344	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0111/002	1907	04/01/2024	Did Not Comply	POINT (-122.400890906 37.800783486)	-122.40089090641926	37.80078348620171	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0726/021	Fillmore Center	1455 FILLMORE ST	94115	460753	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0726/021	1993			POINT (-122.433317508 37.782618296)	-122.4333175078491	37.78261829637114	Western Addition	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3912/002	99 Rhode Island	1750 ALAMEDA ST	94103	60350	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3912/002	1948	04/01/2024	Did Not Comply	POINT (-122.402478023 37.768972717)	-122.40247802273498	37.76897271678559	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3702/044	One Trinity Center	1145 MARKET ST	94103	135389	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3702/044	1990	04/01/2021	Did Not Comply	POINT (-122.413246978 37.779351576)	-122.41324697814255	37.779351575709754	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4316/002	1100 Cesar Chavez	1100 CESAR CHAVEZ ST	94107	27897	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=4316/002	1949	04/01/2029	Upcoming	POINT (-122.389020353 37.75045279)	-122.38902035302667	37.750452790287945	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3521/013	398 11TH ST	398 11TH ST	94103	23147	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3521/013	1916	04/01/2014	Did Not Comply	POINT (-122.412907942 37.770658284)	-122.41290794161719	37.770658283999495	Mission	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3609/118	BPBH LTD PARTNERSHIP	2460 MISSION ST	94110	34911	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3609/118	1968	04/01/2018	Pending - Contracted	POINT (-122.419388186 37.757648638)	-122.41938818612046	37.75764863771509	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1517/037	6333 GEARY BLVD	6333 GEARY BLVD	94121	22900	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1517/037	1957	04/01/2029	Upcoming	POINT (-122.487398221 37.779663942)	-122.48739822110909	37.77966394156544	Outer Richmond	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5415/007	1534-San Francisco	1700 Egbert Ave	94124	63099	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5415/007	1997	04/01/2027	Upcoming	POINT (-122.396525896 37.72783847)	-122.39652589599118	37.72783847000797	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1079/025	Kaiser Permanente	2238 GEARY BLVD	94115	423160	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1079/025	1999	04/01/2025	Upcoming	POINT (-122.440625885 37.78351199)	-122.44062588475624	37.78351199035414	Japantown	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3752/011A	390 4th street	390 4TH ST	94107	17600	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3752/011A	1924	04/01/2016	Did Not Comply	POINT (-122.400050153 37.780819501)	-122.40005015330908	37.78081950139547	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1145/003-A	Kalmanovitz Hall	2130 FULTON ST	94117	95716	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1145/003-A	1921	04/01/2020	Did Not Comply	POINT (-122.450139134 37.776445656)	-122.45013913414225	37.776445655890896	Lone Mountain/USF	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0349/021	St Anthony's - 121 Golden Gate Avenue	121 GOLDEN GATE AVE	94102	70522	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0349/021	2014			POINT (-122.412542637 37.781787154)	-122.4125426374736	37.781787153937046	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3180/007	CA090_Building 352	352 BRIGHTON AVE	94112	99351	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3180/007	2012			POINT (-122.455047245 37.723981848)	-122.45504724469005	37.72398184847414	West of Twin Peaks	7	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0640/018	2055 SACRAMENTO ST	2055 SACRAMENTO ST	94109	113632	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0640/018	1975			POINT (-122.426645313 37.790484376)	-122.42664531262594	37.790484375532735	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0158/047	1520 TAYLOR ST	1520 TAYLOR ST	94133	67734	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0158/047	1976			POINT (-122.413098789 37.796460563)	-122.4130987885627	37.79646056279094	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0743/202	828 FRANKLIN ST	828 FRANKLIN ST	94102	79343	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0743/202	1983			POINT (-122.421927691 37.782059944)	-122.4219276913917	37.78205994358986	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3768/016	2 Bryant Street	2 BRYANT ST	94105	59445	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3768/016	1937	04/01/2030	Upcoming	POINT (-122.388457899 37.787579626)	-122.38845789894224	37.787579625856004	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
6575/005	CPMC MBH - MONTEAGLE MEDICAL CENTER	1580 VALENCIA ST	94110	103160	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=6575/005	2018	04/01/2022	Did Not Comply	POINT (-122.421008881 37.747298686)	-122.42100888051634	37.74729868565689	Bernal Heights	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0287/026	445 Bush Street	445 BUSH ST	94108	47054	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0287/026	1905	04/01/2029	Upcoming	POINT (-122.404812644 37.79039606)	-122.40481264401775	37.79039605953407	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0311/015	One Post Street	One Post Street	94104	468562	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0311/015	1969	04/01/2029	Upcoming	POINT (-122.402574568 37.788778738)	-122.40257456751787	37.78877873780674	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4023/004A	2750 19TH ST	2750 19TH ST	94110	10934	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=4023/004A	1907	04/01/2021	Did Not Comply	POINT (-122.409716034 37.760799555)	-122.40971603366242	37.76079955537949	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3774/075	355 BRYANT ST	355 BRYANT ST	94107	126281	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3774/075	1917			POINT (-122.39242153 37.783550636)	-122.39242153042737	37.783550635764584	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0647/012	Whole Foods Market	1745 CALIFORNIA ST	94109	72621	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0647/012	1900	04/01/2026	Upcoming	POINT (-122.423641452 37.789891769)	-122.42364145202673	37.78989176916417	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1145/003-G	Harney Science Center	2445 Golden Gate Ave	94117	103739	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1145/003-G	1921	04/01/2020	Did Not Comply	POINT (-122.450139134 37.776445656)	-122.45013913414225	37.776445655890896	Lone Mountain/USF	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0297/001	Marines Memorial Assn	609 SUTTER ST	94102	168000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0297/001	1927	04/01/2020	Did Not Comply	POINT (-122.41045762 37.788678375)	-122.41045761975766	37.78867837459384	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3786/322	505 Brannan St	505 Brannan Street	94107	178346	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3786/322		04/01/2030	Upcoming	POINT (-122.396700145 37.777598418)	-122.3967001446831	37.7775984183524	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1032/002	3201 California Street	3201 CALIFORNIA ST	94118	37000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1032/002	2000	04/01/2029	Upcoming	POINT (-122.44708493 37.78692283)	-122.44708493028625	37.78692283016577	Presidio Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3969/001	401 ALABAMA ST	401 ALABAMA ST	94110	98411	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3969/001	1925			POINT (-122.411750756 37.763582732)	-122.41175075634307	37.76358273181871	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1101/001	1363 Divisadero St	1363 DIVISADERO ST	94115	14755	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1101/001	1926	04/01/2029	Upcoming	POINT (-122.439580286 37.78223255)	-122.43958028577921	37.78223254999393	Western Addition	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3705/042	NORDSTROM RETAIL STORE	865 MARKET ST	94103	350255	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3705/042	1908	04/01/2025	Upcoming	POINT (-122.407158343 37.783946923)	-122.4071583434807	37.78394692308082	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0613/029	CPMC PACIFIC CAMPUS - ANNEX BUILDING	2340 CLAY ST	94115	67948	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0613/029	1920	04/01/2022	Did Not Comply	POINT (-122.43176947 37.791198158)	-122.43176946986091	37.79119815753483	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0813/007	95 HAYES ST	95 HAYES ST	94102	635799	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0813/007	1967			POINT (-122.417361361 37.777223612)	-122.41736136122698	37.77722361221247	Tenderloin	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1073/055	John Burton Advocates for Youth Housing Complex	800 PRESIDIO AVE	94115	61785	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=1073/055	1952			POINT (-122.445778739 37.784109019)	-122.44577873888869	37.78410901869172	Presidio Heights	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0504/011	1501 LOMBARD ST	1501 LOMBARD ST	94123	17698	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0504/011	1954	04/01/2027	Upcoming	POINT (-122.426508115 37.800749645)	-122.42650811515873	37.80074964469957	Marina	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0316/010	420 Taylor	420 TAYLOR ST	94102	78024	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0316/010	1942	04/01/2024	Did Not Comply	POINT (-122.41103102 37.786332077)	-122.41103101965717	37.78633207729552	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
